aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
21,0.2,2018年10月11日14时,110000,―,北京市,北京市,12,65,8,4,2
21,0.3,2018年10月11日14时,120000,―,天津市,天津市,12,67,13,7,5
56,0.6,2018年10月11日14时,130100,PM10,石家庄市,石家庄市,25,90,61,24,13
29,0.4,2018年10月11日14时,130200,―,唐山市,唐山市,11,69,29,18,16
23,0.2,2018年10月11日14时,130300,―,秦皇岛市,秦皇岛市,9,72,10,6,7
54,0.3,2018年10月11日14时,130400,PM10,邯郸市,邯郸市,20,96,58,21,14
62,0.4,2018年10月11日14时,130500,PM10,邢台市,邢台市,29,88,73,37,16
23,0.3,2018年10月11日14时,130600,―,保定市,保定市,14,73,20,10,9
29,0.3,2018年10月11日14时,130800,―,承德市,承德市,10,66,29,6,10
26,0.2,2018年10月11日14时,130900,―,沧州市,沧州市,12,82,12,5,11
30,0.4,2018年10月11日14时,131000,―,廊坊市,廊坊市,16,64,30,11,3
31,0.4,2018年10月11日14时,131100,―,衡水市,衡水市,8,97,30,20,5
26,0.3,2018年10月11日14时,131200,―,张家口市,张家口市,5,81,13,8,8
62,0.7,2018年10月11日14时,140100,PM10,太原市,太原市,27,76,74,32,19
23,1.3,2018年10月11日14时,140200,―,大同市,大同市,12,72,21,7,19
58,0.7,2018年10月11日14时,140300,PM10,阳泉市,阳泉市,33,80,66,32,21
65,0.8,2018年10月11日14时,140400,PM10,长治市,长治市,20,118,80,37,14
59,0.8,2018年10月11日14时,140500,PM10,晋城市,晋城市,15,144,67,22,13
26,0.5,2018年10月11日14时,140600,―,朔州市,朔州市,9,81,24,10,10
61,0.8,2018年10月11日14时,140700,PM10,晋中市,晋中市,26,106,72,39,16
58,2.3,2018年10月11日14时,140800,PM10,运城市,运城市,14,115,66,27,14
27,0.5,2018年10月11日14时,140900,―,忻州市,忻州市,13,86,27,8,10
61,0.9,2018年10月11日14时,141000,PM10,临汾市,临汾市,27,112,71,26,24
47,0.8,2018年10月11日14时,141100,―,吕梁市,吕梁市,28,73,47,22,18
24,0.6,2018年10月11日14时,150100,―,呼和浩特市,呼和浩特市,17,65,24,8,9
25,0.4,2018年10月11日14时,150200,―,包头市,包头市,12,80,25,8,12
57,0.7,2018年10月11日14时,150300,PM10,乌海市,乌海市,30,65,64,23,50
19,0.3,2018年10月11日14时,150400,―,赤峰市,赤峰市,6,59,16,8,7
22,0.3,2018年10月11日14时,150500,―,通辽市,通辽市,4,70,13,6,5
35,0.5,2018年10月11日14时,150600,―,鄂尔多斯市,鄂尔多斯市,15,83,35,12,9
22,0.2,2018年10月11日14时,150700,―,呼伦贝尔市,呼伦贝尔市,6,69,12,6,3
36,0.4,2018年10月11日14时,150800,―,巴彦淖尔市,巴彦淖尔市,7,96,36,12,6
23,0.3,2018年10月11日14时,150900,―,乌兰察布市,乌兰察布市,13,71,17,11,16
