aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
19,0.3,2018年10月11日12时,110000,―,北京市,北京市,12,58,9,4,2
19,0.3,2018年10月11日12时,120000,―,天津市,天津市,12,59,14,6,4
56,0.9,2018年10月11日12时,130100,PM10,石家庄市,石家庄市,35,56,62,26,14
38,0.4,2018年10月11日12时,130200,―,唐山市,唐山市,16,55,38,13,17
21,0.2,2018年10月11日12时,130300,―,秦皇岛市,秦皇岛市,7,66,12,6,6
65,0.4,2018年10月11日12时,130400,PM10,邯郸市,邯郸市,33,71,79,36,16
69,0.6,2018年10月11日12时,130500,PM10,邢台市,邢台市,40,72,88,38,21
29,0.4,2018年10月11日12时,130600,―,保定市,保定市,18,61,29,14,22
26,0.4,2018年10月11日12时,130800,―,承德市,承德市,16,55,26,8,11
22,0.2,2018年10月11日12时,130900,―,沧州市,沧州市,14,68,10,4,7
40,0.8,2018年10月11日12时,131000,―,廊坊市,廊坊市,16,55,40,6,3
28,0.4,2018年10月11日12时,131100,―,衡水市,衡水市,14,71,27,19,4
28,0.4,2018年10月11日12时,131200,―,张家口市,张家口市,15,58,28,9,11
62,0.8,2018年10月11日12时,140100,PM10,太原市,太原市,34,54,74,27,25
31,1.2,2018年10月11日12时,140200,―,大同市,大同市,11,65,31,20,18
66,0.8,2018年10月11日12时,140300,PM10,阳泉市,阳泉市,43,59,81,41,25
73,0.9,2018年10月11日12时,140400,PM10,长治市,长治市,32,89,96,38,12
60,1.1,2018年10月11日12时,140500,PM10,晋城市,晋城市,22,109,70,33,15
49,0.6,2018年10月11日12时,140600,―,朔州市,朔州市,15,68,49,18,18
67,1.0,2018年10月11日12时,140700,PM10,晋中市,晋中市,32,74,84,37,19
65,0.5,2018年10月11日12时,140800,PM10,运城市,运城市,17,100,79,29,11
40,0.6,2018年10月11日12时,140900,―,忻州市,忻州市,25,54,40,12,20
64,1.1,2018年10月11日12时,141000,PM10,临汾市,临汾市,37,71,78,30,36
60,0.7,2018年10月11日12时,141100,PM10,吕梁市,吕梁市,30,59,69,23,20
29,0.6,2018年10月11日12时,150100,―,呼和浩特市,呼和浩特市,15,61,29,6,8
53,0.5,2018年10月11日12时,150200,PM10,包头市,包头市,15,63,56,24,11
67,1.0,2018年10月11日12时,150300,PM10,乌海市,乌海市,40,47,84,28,67
18,0.3,2018年10月11日12时,150400,―,赤峰市,赤峰市,8,51,18,8,7
26,0.2,2018年10月11日12时,150500,―,通辽市,通辽市,7,59,26,9,7
38,0.5,2018年10月11日12时,150600,―,鄂尔多斯市,鄂尔多斯市,17,73,38,15,10
19,0.4,2018年10月11日12时,150700,―,呼伦贝尔市,呼伦贝尔市,6,60,16,7,4
44,0.5,2018年10月11日12时,150800,―,巴彦淖尔市,巴彦淖尔市,12,74,44,16,14
22,0.3,2018年10月11日12时,150900,―,乌兰察布市,乌兰察布市,14,69,14,10,19
20,0.2,2018年10月11日12时,152200,―,兴安盟,兴安盟,4,61,14,7,3
27,0.2,2018年10月11日12时,152500,―,锡林郭勒盟,锡林郭勒盟,13,50,27,17,14
39,0.5,2018年10月11日12时,152900,―,阿拉善盟,阿拉善盟,14,122,33,22,14
34,0.5,2018年10月11日12时,210100,―,沈阳市,沈阳市,22,42,34,12,12
21,0.4,2018年10月11日12时,210200,―,大连市,大连市,7,67,15,6,5
17,0.1,2018年10月11日12时,210281,―,瓦房店市,瓦房店市,10,52,14,10,8
32,1.4,2018年10月11日12时,210300,―,鞍山市,鞍山市,22,48,32,16,18
59,0.6,2018年10月11日12时,210400,PM10,抚顺市,抚顺市,27,41,67,31,18
55,1.2,2018年10月11日12时,210500,PM10,本溪市,本溪市,26,33,60,21,21
23,0.5,2018年10月11日12时,210600,―,丹东市,丹东市,9,52,23,11,10
21,0.4,2018年10月11日12时,210700,―,锦州市,锦州市,6,65,21,5,8
20,0.1,2018年10月11日12时,210800,―,营口市,营口市,10,63,14,6,5
38,0.2,2018年10月11日12时,210900,―,阜新市,阜新市,5,64,38,2,6
24,0.4,2018年10月11日12时,211000,―,辽阳市,辽阳市,10,52,24,10,13
23,0.4,2018年10月11日12时,211100,―,盘锦市,盘锦市,8,69,23,7,12
20,0.5,2018年10月11日12时,211200,―,铁岭市,铁岭市,6,54,20,7,4
21,0.5,2018年10月11日12时,211300,―,朝阳市,朝阳市,6,66,12,7,7
20,0.4,2018年10月11日12时,211400,―,葫芦岛市,葫芦岛市,7,64,15,3,19
20,0.5,2018年10月11日12时,220100,―,长春市,长春市,16,33,20,8,5
23,0.5,2018年10月11日12时,220200,―,吉林市,吉林市,13,26,23,14,8
27,0.7,2018年10月11日12时,220300,―,四平市,四平市,8,46,27,12,4
16,0.6,2018年10月11日12时,220400,―,辽源市,辽源市,8,48,16,11,11
30,0.6,2018年10月11日12时,220500,―,通化市,通化市,20,27,30,12,6
20,0.6,2018年10月11日12时,220600,―,白山市,白山市,11,40,20,8,6
20,0.4,2018年10月11日12时,220700,―,松原市,松原市,2,48,20,5,2
20,0.3,2018年10月11日12时,220800,―,白城市,白城市,4,64,17,8,6
17,0.3,2018年10月11日12时,222400,―,延边州,延边州,11,30,17,8,3
22,0.3,2018年10月11日12时,230100,―,哈尔滨市,哈尔滨市,11,51,22,6,6
34,0.3,2018年10月11日12时,230200,―,齐齐哈尔市,齐齐哈尔市,8,50,34,9,9
15,0.2,2018年10月11日12时,230300,―,鸡西市,鸡西市,6,29,14,10,3
20,0.4,2018年10月11日12时,230400,―,鹤岗市,鹤岗市,6,64,18,10,8
20,0.2,2018年10月11日12时,230500,―,双鸭山市,双鸭山市,5,63,18,12,2
19,0.3,2018年10月11日12时,230600,―,大庆市,大庆市,6,60,14,10,5
18,0.2,2018年10月11日12时,230700,―,伊春市,伊春市,5,44,18,7,3
26,0.3,2018年10月11日12时,230800,―,佳木斯市,佳木斯市,5,61,26,4,5
30,0.2,2018年10月11日12时,230900,―,七台河市,七台河市,14,37,30,8,11
16,0.2,2018年10月11日12时,231000,―,牡丹江市,牡丹江市,8,41,16,9,2
22,0.3,2018年10月11日12时,231100,―,黑河市,黑河市,10,44,22,12,15
35,0.3,2018年10月11日12时,231200,―,绥化市,绥化市,4,42,16,24,2
36,0.3,2018年10月11日12时,232700,―,大兴安岭地区,大兴安岭地区,12,40,36,6,29
37,0.5,2018年10月11日12时,310000,―,上海市,上海市,14,93,37,17,7
57,0.5,2018年10月11日12时,320100,PM10,南京市,南京市,24,102,63,23,11
51,0.6,2018年10月11日12时,320200,PM10,无锡市,无锡市,17,93,51,19,13
44,0.5,2018年10月11日12时,320281,―,江阴市,江阴市,14,101,44,26,15
32,1.0,2018年10月11日12时,320282,―,宜兴市,宜兴市,19,100,32,21,19
82,0.6,2018年10月11日12时,320300,PM10,徐州市,徐州市,46,70,113,44,20
