aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
20,0.3,2018年10月11日16时,110000,―,北京市,北京市,14,61,14,8,2
22,0.3,2018年10月11日16时,120000,―,天津市,天津市,16,66,22,11,4
64,0.7,2018年10月11日16时,130100,PM10,石家庄市,石家庄市,33,95,77,32,14
36,0.4,2018年10月11日16时,130200,―,唐山市,唐山市,14,68,36,20,10
23,0.3,2018年10月11日16时,130300,―,秦皇岛市,秦皇岛市,11,72,18,8,7
62,0.4,2018年10月11日16时,130400,PM10,邯郸市,邯郸市,20,100,74,20,10
62,0.6,2018年10月11日16时,130500,PM10,邢台市,邢台市,29,95,74,33,17
28,0.3,2018年10月11日16时,130600,―,保定市,保定市,19,78,28,11,8
22,0.5,2018年10月11日16时,130800,―,承德市,承德市,14,69,20,5,15
34,0.4,2018年10月11日16时,130900,―,沧州市,沧州市,20,101,34,20,14
24,0.3,2018年10月11日16时,131000,―,廊坊市,廊坊市,20,69,24,9,3
47,0.4,2018年10月11日16时,131100,―,衡水市,衡水市,11,110,47,25,4
27,0.3,2018年10月11日16时,131200,―,张家口市,张家口市,6,85,16,5,9
63,0.7,2018年10月11日16时,140100,PM2.5,太原市,太原市,30,86,70,45,17
24,1.2,2018年10月11日16时,140200,―,大同市,大同市,15,74,24,9,15
53,0.6,2018年10月11日16时,140300,PM10,阳泉市,阳泉市,28,95,56,27,14
55,0.9,2018年10月11日16时,140400,PM10,长治市,长治市,15,130,60,24,9
65,0.8,2018年10月11日16时,140500,PM10,晋城市,晋城市,21,143,80,34,16
28,0.4,2018年10月11日16时,140600,―,朔州市,朔州市,13,80,28,10,12
57,0.8,2018年10月11日16时,140700,PM10,晋中市,晋中市,26,106,64,37,13
53,0.5,2018年10月11日16时,140800,PM10,运城市,运城市,11,126,56,25,8
27,0.5,2018年10月11日16时,140900,―,忻州市,忻州市,17,84,26,9,10
62,1.0,2018年10月11日16时,141000,PM10,临汾市,临汾市,26,132,74,33,20
38,0.6,2018年10月11日16时,141100,―,吕梁市,吕梁市,20,75,34,26,20
32,0.6,2018年10月11日16时,150100,―,呼和浩特市,呼和浩特市,23,67,32,11,10
26,0.6,2018年10月11日16时,150200,―,包头市,包头市,20,83,25,15,28
54,0.8,2018年10月11日16时,150300,PM10,乌海市,乌海市,30,83,58,20,38
18,0.3,2018年10月11日16时,150400,―,赤峰市,赤峰市,11,56,17,7,7
21,0.2,2018年10月11日16时,150500,―,通辽市,通辽市,10,66,17,8,5
34,0.5,2018年10月11日16时,150600,―,鄂尔多斯市,鄂尔多斯市,15,90,34,15,9
22,0.3,2018年10月11日16时,150700,―,呼伦贝尔市,呼伦贝尔市,8,68,18,9,3
32,0.4,2018年10月11日16时,150800,―,巴彦淖尔市,巴彦淖尔市,8,102,32,12,7
23,0.3,2018年10月11日16时,150900,―,乌兰察布市,乌兰察布市,16,72,13,7,16
23,0.2,2018年10月11日16时,152200,―,兴安盟,兴安盟,5,71,13,9,3
21,0.2,2018年10月11日16时,152500,―,锡林郭勒盟,锡林郭勒盟,3,66,19,8,4
44,0.5,2018年10月11日16时,152900,―,阿拉善盟,阿拉善盟,10,138,38,18,12
24,0.4,2018年10月11日16时,210100,―,沈阳市,沈阳市,13,61,24,7,9
24,0.4,2018年10月11日16时,210200,―,大连市,大连市,10,76,16,7,5
19,0.2,2018年10月11日16时,210281,―,瓦房店市,瓦房店市,12,59,16,8,4
31,0.7,2018年10月11日16时,210300,―,鞍山市,鞍山市,14,67,31,14,8
18,0.3,2018年10月11日16时,210400,―,抚顺市,抚顺市,13,57,12,7,9
29,0.5,2018年10月11日16时,210500,―,本溪市,本溪市,25,41,29,12,9
