aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
54,0.4,2018年10月11日21时,110000,PM10,北京市,北京市,55,18,58,18,2
60,0.8,2018年10月11日21时,120000,PM10,天津市,天津市,76,6,70,20,6
84,0.9,2018年10月11日21时,130100,PM10,石家庄市,石家庄市,77,35,118,58,14
68,0.8,2018年10月11日21时,130200,PM10,唐山市,唐山市,74,6,85,36,14
57,1.3,2018年10月11日21时,130300,PM10,秦皇岛市,秦皇岛市,64,14,63,29,19
78,0.6,2018年10月11日21时,130400,PM10,邯郸市,邯郸市,69,34,105,40,22
87,0.6,2018年10月11日21时,130500,PM10,邢台市,邢台市,96,10,124,49,23
80,1.0,2018年10月11日21时,130600,PM10,保定市,保定市,78,5,110,36,10
64,1.0,2018年10月11日21时,130800,PM10,承德市,承德市,54,6,78,27,10
108,1.2,2018年10月11日21时,130900,PM2.5,沧州市,沧州市,95,8,154,81,15
52,0.4,2018年10月11日21时,131000,PM10,廊坊市,廊坊市,62,21,54,24,4
69,0.8,2018年10月11日21时,131100,PM10,衡水市,衡水市,74,36,88,47,4
57,0.7,2018年10月11日21时,131200,PM10,张家口市,张家口市,39,35,63,25,11
87,1.0,2018年10月11日21时,140100,PM10,太原市,太原市,91,11,124,57,15
75,1.5,2018年10月11日21时,140200,PM10,大同市,大同市,50,6,100,36,27
87,1.0,2018年10月11日21时,140300,PM2.5,阳泉市,阳泉市,60,37,113,64,21
65,1.0,2018年10月11日21时,140400,PM10,长治市,长治市,28,95,80,35,10
78,1.1,2018年10月11日21时,140500,PM10,晋城市,晋城市,65,68,106,49,20
69,0.9,2018年10月11日21时,140600,PM10,朔州市,朔州市,57,19,87,41,28
115,1.0,2018年10月11日21时,140700,PM10,晋中市,晋中市,78,14,180,64,13
70,0.6,2018年10月11日21时,140800,PM10,运城市,运城市,27,100,89,33,16
78,1.1,2018年10月11日21时,140900,PM10,忻州市,忻州市,76,5,106,50,51
105,1.8,2018年10月11日21时,141000,PM10,临汾市,临汾市,102,14,159,74,16
75,0.9,2018年10月11日21时,141100,PM10,吕梁市,吕梁市,67,9,100,28,21
73,1.4,2018年10月11日21时,150100,PM10,呼和浩特市,呼和浩特市,77,8,96,42,16
72,1.2,2018年10月11日21时,150200,PM2.5,包头市,包头市,90,8,90,52,23
58,0.7,2018年10月11日21时,150300,PM10,乌海市,乌海市,58,23,65,32,12
87,1.2,2018年10月11日21时,150400,PM10,赤峰市,赤峰市,68,2,123,44,22
132,1.3,2018年10月11日21时,150500,PM10,通辽市,通辽市,72,4,213,77,15
55,0.8,2018年10月11日21时,150600,PM10,鄂尔多斯市,鄂尔多斯市,68,15,59,22,15
36,0.3,2018年10月11日21时,150700,―,呼伦贝尔市,呼伦贝尔市,10,50,36,20,2
68,0.7,2018年10月11日21时,150800,PM10,巴彦淖尔市,巴彦淖尔市,26,70,85,37,24
48,0.7,2018年10月11日21时,150900,―,乌兰察布市,乌兰察布市,70,18,48,18,21
75,1.0,2018年10月11日21时,152200,PM10,兴安盟,兴安盟,43,10,100,52,7
35,0.2,2018年10月11日21时,152500,―,锡林郭勒盟,锡林郭勒盟,30,28,35,8,26
49,0.6,2018年10月11日21时,152900,―,阿拉善盟,阿拉善盟,16,100,49,32,14
58,1.0,2018年10月11日21时,210100,PM10,沈阳市,沈阳市,67,6,66,32,17
37,0.7,2018年10月11日21时,210200,―,大连市,大连市,45,28,37,16,6
51,0.7,2018年10月11日21时,210281,PM10,瓦房店市,瓦房店市,58,11,52,21,4
63,0.9,2018年10月11日21时,210300,PM10,鞍山市,鞍山市,44,16,75,32,8
79,1.0,2018年10月11日21时,210400,PM2.5,抚顺市,抚顺市,40,13,96,58,18
57,1.0,2018年10月11日21时,210500,PM10,本溪市,本溪市,41,8,64,31,12
45,0.9,2018年10月11日21时,210600,―,丹东市,丹东市,32,21,45,27,16
41,0.5,2018年10月11日21时,210700,―,锦州市,锦州市,47,23,41,15,13
41,0.4,2018年10月11日21时,210800,―,营口市,营口市,59,11,41,21,4
84,1.1,2018年10月11日21时,210900,PM10,阜新市,阜新市,47,15,117,60,20
105,1.0,2018年10月11日21时,211000,PM2.5,辽阳市,辽阳市,44,15,108,79,15
28,0.4,2018年10月11日21时,211100,―,盘锦市,盘锦市,42,24,28,13,14
60,0.9,2018年10月11日21时,211200,PM10,铁岭市,铁岭市,53,6,69,34,14
91,1.3,2018年10月11日21时,211300,PM10,朝阳市,朝阳市,50,14,131,52,24
43,0.7,2018年10月11日21时,211400,―,葫芦岛市,葫芦岛市,44,30,43,23,12
72,1.4,2018年10月11日21时,220100,PM10,长春市,长春市,49,9,94,37,7
40,0.7,2018年10月11日21时,220200,―,吉林市,吉林市,35,10,40,26,8
61,1.2,2018年10月11日21时,220300,PM10,四平市,四平市,51,5,71,26,7
53,1.4,2018年10月11日21时,220400,PM10,辽源市,辽源市,45,15,55,36,7
57,0.8,2018年10月11日21时,220500,PM10,通化市,通化市,26,5,63,23,10
52,1.0,2018年10月11日21时,220600,PM10,白山市,白山市,30,6,54,27,11
24,0.9,2018年10月11日21时,220700,―,松原市,松原市,42,10,24,11,3
70,0.8,2018年10月11日21时,220800,PM10,白城市,白城市,56,10,90,40,8
24,0.4,2018年10月11日21时,222400,―,延边州,延边州,11,31,24,10,4
46,0.5,2018年10月11日21时,230100,―,哈尔滨市,哈尔滨市,47,23,46,23,8
57,0.8,2018年10月11日21时,230200,PM10,齐齐哈尔市,齐齐哈尔市,23,40,63,26,34
36,0.5,2018年10月11日21时,230300,―,鸡西市,鸡西市,22,15,36,21,5
32,0.7,2018年10月11日21时,230400,―,鹤岗市,鹤岗市,20,39,32,20,10
74,2.9,2018年10月11日21时,230500,PM10,双鸭山市,双鸭山市,45,5,97,33,9
53,0.7,2018年10月11日21时,230600,PM10,大庆市,大庆市,33,19,55,18,6
49,0.2,2018年10月11日21时,230700,―,伊春市,伊春市,40,8,49,19,4
80,1.5,2018年10月11日21时,230800,PM10,佳木斯市,佳木斯市,46,5,110,42,11
66,0.6,2018年10月11日21时,230900,PM10,七台河市,七台河市,31,16,82,30,5
35,0.4,2018年10月11日21时,231000,―,牡丹江市,牡丹江市,22,13,35,24,2
59,0.6,2018年10月11日21时,231100,PM10,黑河市,黑河市,32,12,68,30,20
55,0.4,2018年10月11日21时,231200,PM10,绥化市,绥化市,27,23,60,24,3
73,1.0,2018年10月11日21时,232700,PM10,大兴安岭地区,大兴安岭地区,34,4,96,39,20
42,0.4,2018年10月11日21时,310000,―,上海市,上海市,31,86,42,17,6
63,0.5,2018年10月11日21时,320100,PM10,南京市,南京市,74,38,75,30,8
61,0.7,2018年10月11日21时,320200,PM10,无锡市,无锡市,46,56,72,35,14
52,0.5,2018年10月11日21时,320281,PM10,江阴市,江阴市,37,79,54,33,14
50,1.0,2018年10月11日21时,320282,―,宜兴市,宜兴市,46,71,50,32,18
91,0.9,2018年10月11日21时,320300,PM10,徐州市,徐州市,112,8,132,53,18
59,0.6,2018年10月11日21时,320400,"PM10,PM2.5",常州市,常州市,59,62,67,42,16
60,0.8,2018年10月11日21时,320481,PM10,溧阳市,溧阳市,30,100,69,36,7
64,0.6,2018年10月11日21时,320482,PM2.5,金坛市,金坛市,37,87,64,46,16
46,0.4,2018年10月11日21时,320500,―,苏州市,苏州市,45,64,46,24,6
46,0.6,2018年10月11日21时,320581,―,常熟市,常熟市,40,80,46,25,18
53,0.3,2018年10月11日21时,320582,PM10,张家港市,张家港市,43,82,56,19,5
44,0.6,2018年10月11日21时,320583,―,昆山市,昆山市,47,69,44,19,10
64,0.6,2018年10月11日21时,320584,PM10,吴江市,吴江市,52,62,78,30,7
44,0.5,2018年10月11日21时,320585,―,太仓市,太仓市,74,48,44,24,8
