aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
34,0.5,2018年10月11日07时,110000,―,北京市,北京市,48,6,34,8,3
28,0.5,2018年10月11日07时,120000,―,天津市,天津市,45,15,28,11,6
83,1.0,2018年10月11日07时,130100,PM10,石家庄市,石家庄市,69,2,116,43,15
55,0.8,2018年10月11日07时,130200,PM10,唐山市,唐山市,53,10,60,28,80
41,0.6,2018年10月11日07时,130300,―,秦皇岛市,秦皇岛市,47,10,41,17,15
88,3.1,2018年10月11日07时,130400,PM10,邯郸市,邯郸市,69,7,126,47,34
70,0.6,2018年10月11日07时,130500,PM10,邢台市,邢台市,56,5,90,32,13
69,0.7,2018年10月11日07时,130600,PM10,保定市,保定市,47,4,87,38,8
47,0.6,2018年10月11日07时,130800,―,承德市,承德市,36,6,47,24,8
46,0.7,2018年10月11日07时,130900,―,沧州市,沧州市,54,12,38,32,12
31,0.4,2018年10月11日07时,131000,―,廊坊市,廊坊市,61,3,30,12,4
82,0.8,2018年10月11日07时,131100,PM2.5,衡水市,衡水市,52,5,91,60,15
18,0.3,2018年10月11日07时,131200,―,张家口市,张家口市,15,32,18,12,8
69,0.8,2018年10月11日07时,140100,PM10,太原市,太原市,53,10,87,30,24
57,3.6,2018年10月11日07时,140200,PM10,大同市,大同市,34,4,64,18,37
81,0.9,2018年10月11日07时,140300,PM10,阳泉市,阳泉市,53,7,111,46,24
65,1.3,2018年10月11日07时,140400,PM10,长治市,长治市,37,14,80,34,14
84,3.0,2018年10月11日07时,140500,PM10,晋城市,晋城市,60,20,117,58,27
84,1.0,2018年10月11日07时,140600,PM10,朔州市,朔州市,47,6,118,33,36
72,1.0,2018年10月11日07时,140700,PM10,晋中市,晋中市,64,6,94,36,20
68,1.8,2018年10月11日07时,140800,PM10,运城市,运城市,68,11,85,37,30
48,0.8,2018年10月11日07时,140900,―,忻州市,忻州市,50,4,48,21,31
73,1.2,2018年10月11日07时,141000,PM10,临汾市,临汾市,66,10,95,37,40
64,0.8,2018年10月11日07时,141100,PM10,吕梁市,吕梁市,49,5,77,23,14
40,1.0,2018年10月11日07时,150100,―,呼和浩特市,呼和浩特市,48,6,40,13,9
56,1.5,2018年10月11日07时,150200,PM10,包头市,包头市,47,3,62,24,17
64,1.1,2018年10月11日07时,150300,PM10,乌海市,乌海市,48,27,78,31,124
19,0.5,2018年10月11日07时,150400,―,赤峰市,赤峰市,30,17,19,6,8
50,0.6,2018年10月11日07时,150500,―,通辽市,通辽市,21,23,50,23,6
29,0.7,2018年10月11日07时,150600,―,鄂尔多斯市,鄂尔多斯市,55,8,29,12,13
20,0.3,2018年10月11日07时,150700,―,呼伦贝尔市,呼伦贝尔市,18,18,20,12,2
40,1.0,2018年10月11日07时,150800,―,巴彦淖尔市,巴彦淖尔市,32,18,40,21,8
23,0.4,2018年10月11日07时,150900,―,乌兰察布市,乌兰察布市,46,8,17,10,16
29,0.4,2018年10月11日07时,152200,―,兴安盟,兴安盟,29,19,29,19,5
14,0.2,2018年10月11日07时,152500,―,锡林郭勒盟,锡林郭勒盟,5,40,14,7,5
