aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
20,0.3,2018年10月11日13时,110000,―,北京市,北京市,10,63,6,4,2
20,0.3,2018年10月11日13时,120000,―,天津市,天津市,11,64,13,6,4
54,0.7,2018年10月11日13时,130100,PM10,石家庄市,石家庄市,29,76,57,22,13
35,0.4,2018年10月11日13时,130200,―,唐山市,唐山市,10,64,35,13,17
21,0.2,2018年10月11日13时,130300,―,秦皇岛市,秦皇岛市,11,67,11,6,8
54,0.4,2018年10月11日13时,130400,PM10,邯郸市,邯郸市,20,91,57,24,13
62,0.4,2018年10月11日13时,130500,PM10,邢台市,邢台市,28,85,74,39,14
23,0.3,2018年10月11日13时,130600,―,保定市,保定市,14,71,21,11,13
20,0.4,2018年10月11日13时,130800,―,承德市,承德市,12,62,20,7,8
23,0.2,2018年10月11日13时,130900,―,沧州市,沧州市,13,73,15,8,10
59,0.4,2018年10月11日13时,131000,PM10,廊坊市,廊坊市,16,62,68,9,3
32,0.4,2018年10月11日13时,131100,―,衡水市,衡水市,11,81,32,18,4
23,0.4,2018年10月11日13时,131200,―,张家口市,张家口市,8,71,22,7,11
63,0.7,2018年10月11日13时,140100,PM10,太原市,太原市,29,71,76,30,20
26,1.1,2018年10月11日13时,140200,―,大同市,大同市,12,68,26,8,17
60,0.8,2018年10月11日13时,140300,PM10,阳泉市,阳泉市,38,69,69,36,24
71,0.9,2018年10月11日13时,140400,PM10,长治市,长治市,26,103,92,29,14
60,0.9,2018年10月11日13时,140500,PM10,晋城市,晋城市,15,135,69,25,13
39,0.6,2018年10月11日13时,140600,―,朔州市,朔州市,12,75,39,13,14
63,1.0,2018年10月11日13时,140700,PM10,晋中市,晋中市,29,96,75,36,18
62,0.6,2018年10月11日13时,140800,PM10,运城市,运城市,14,110,74,26,12
34,0.5,2018年10月11日13时,140900,―,忻州市,忻州市,18,72,34,10,13
60,0.9,2018年10月11日13时,141000,PM10,临汾市,临汾市,31,94,70,28,27
