aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
20,0.3,2018年10月11日15时,110000,―,北京市,北京市,13,64,12,6,2
21,0.3,2018年10月11日15时,120000,―,天津市,天津市,15,66,19,9,4
59,0.6,2018年10月11日15时,130100,PM10,石家庄市,石家庄市,29,94,67,29,13
31,0.4,2018年10月11日15时,130200,―,唐山市,唐山市,12,74,31,18,14
29,0.3,2018年10月11日15时,130300,―,秦皇岛市,秦皇岛市,10,90,14,8,6
58,0.3,2018年10月11日15时,130400,PM10,邯郸市,邯郸市,20,100,66,22,12
62,0.6,2018年10月11日15时,130500,PM10,邢台市,邢台市,26,92,73,32,16
25,0.3,2018年10月11日15时,130600,―,保定市,保定市,15,77,21,12,8
22,0.4,2018年10月11日15时,130800,―,承德市,承德市,10,70,18,5,12
29,0.4,2018年10月11日15时,130900,―,沧州市,沧州市,17,91,28,16,13
27,0.3,2018年10月11日15时,131000,―,廊坊市,廊坊市,18,68,27,10,3
33,0.4,2018年10月11日15时,131100,―,衡水市,衡水市,9,104,33,18,4
26,0.3,2018年10月11日15时,131200,―,张家口市,张家口市,5,83,12,7,8
62,0.7,2018年10月11日15时,140100,PM10,太原市,太原市,28,80,74,37,17
24,1.6,2018年10月11日15时,140200,―,大同市,大同市,13,74,20,8,20
53,0.6,2018年10月11日15时,140300,PM10,阳泉市,阳泉市,28,91,56,28,16
61,0.7,2018年10月11日15时,140400,PM10,长治市,长治市,15,125,72,37,8
62,0.8,2018年10月11日15时,140500,PM10,晋城市,晋城市,17,146,74,27,14
27,0.5,2018年10月11日15时,140600,―,朔州市,朔州市,10,84,21,18,11
65,0.8,2018年10月11日15时,140700,PM10,晋中市,晋中市,24,105,79,37,14
57,0.5,2018年10月11日15时,140800,PM10,运城市,运城市,12,127,64,31,11
32,0.5,2018年10月11日15时,140900,―,忻州市,忻州市,16,84,32,8,11
64,0.9,2018年10月11日15时,141000,PM10,临汾市,临汾市,28,123,77,31,23
43,0.7,2018年10月11日15时,141100,―,吕梁市,吕梁市,31,70,34,30,20
25,0.6,2018年10月11日15时,150100,―,呼和浩特市,呼和浩特市,21,67,25,8,9
28,0.5,2018年10月11日15时,150200,―,包头市,包头市,14,88,27,11,17
56,0.7,2018年10月11日15时,150300,PM10,乌海市,乌海市,28,81,61,21,40
