aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
59,0.5,2018年10月12日02时,110000,PM10,北京市,北京市,56,6,67,21,2
69,0.9,2018年10月12日02时,120000,PM10,天津市,天津市,77,2,87,39,10
111,1.0,2018年10月12日02时,130100,PM10,石家庄市,石家庄市,94,2,171,72,13
49,0.6,2018年10月12日02时,130200,―,唐山市,唐山市,55,12,49,32,19
63,1.3,2018年10月12日02时,130300,PM10,秦皇岛市,秦皇岛市,57,5,76,36,26
85,0.6,2018年10月12日02时,130400,PM10,邯郸市,邯郸市,72,17,119,56,30
103,0.8,2018年10月12日02时,130500,PM10,邢台市,邢台市,72,3,156,56,22
98,1.0,2018年10月12日02时,130600,PM10,保定市,保定市,61,4,146,57,20
42,0.6,2018年10月12日02时,130800,―,承德市,承德市,40,4,42,16,8
77,0.5,2018年10月12日02时,130900,PM2.5,沧州市,沧州市,69,15,82,56,18
56,0.6,2018年10月12日02时,131000,PM10,廊坊市,廊坊市,53,12,61,36,6
69,0.6,2018年10月12日02时,131100,PM2.5,衡水市,衡水市,61,26,75,50,5
28,0.4,2018年10月12日02时,131200,―,张家口市,张家口市,16,40,28,13,8
93,1.0,2018年10月12日02时,140100,PM10,太原市,太原市,75,7,135,52,23
65,2.6,2018年10月12日02时,140200,PM10,大同市,大同市,41,7,79,34,35
94,1.0,2018年10月12日02时,140300,PM10,阳泉市,阳泉市,66,14,138,57,21
67,0.8,2018年10月12日02时,140400,PM10,长治市,长治市,26,71,84,47,7
98,1.3,2018年10月12日02时,140500,PM10,晋城市,晋城市,92,7,145,63,21
99,0.9,2018年10月12日02时,140600,PM10,朔州市,朔州市,51,9,148,44,27
74,1.0,2018年10月12日02时,140700,PM2.5,晋中市,晋中市,66,22,92,54,18
72,0.6,2018年10月12日02时,140800,PM2.5,运城市,运城市,25,79,91,52,17
54,0.7,2018年10月12日02时,140900,PM10,忻州市,忻州市,55,3,58,32,42
79,1.0,2018年10月12日02时,141000,PM10,临汾市,临汾市,70,18,107,51,11
69,0.7,2018年10月12日02时,141100,PM10,吕梁市,吕梁市,51,6,88,30,22
75,1.1,2018年10月12日02时,150100,PM10,呼和浩特市,呼和浩特市,64,3,100,42,14
99,2.0,2018年10月12日02时,150200,PM2.5,包头市,包头市,70,3,142,74,24
79,1.1,2018年10月12日02时,150300,PM10,乌海市,乌海市,54,5,108,39,11
81,0.5,2018年10月12日02时,150400,PM10,赤峰市,赤峰市,30,6,111,40,14
53,0.9,2018年10月12日02时,150500,PM10,通辽市,通辽市,27,36,55,35,6
50,0.6,2018年10月12日02时,150600,―,鄂尔多斯市,鄂尔多斯市,57,19,50,13,10
17,0.2,2018年10月12日02时,150700,―,呼伦贝尔市,呼伦贝尔市,7,45,17,10,2
56,0.7,2018年10月12日02时,150800,PM10,巴彦淖尔市,巴彦淖尔市,28,55,62,38,12
42,1.0,2018年10月12日02时,150900,―,乌兰察布市,乌兰察布市,58,16,42,22,18
50,0.6,2018年10月12日02时,152200,―,兴安盟,兴安盟,29,4,50,33,4
22,0.2,2018年10月12日02时,152500,―,锡林郭勒盟,锡林郭勒盟,12,34,22,4,8
45,0.6,2018年10月12日02时,152900,―,阿拉善盟,阿拉善盟,10,108,45,23,12
77,1.1,2018年10月12日02时,210100,PM2.5,沈阳市,沈阳市,53,6,94,56,58
23,0.6,2018年10月12日02时,210200,―,大连市,大连市,26,44,23,10,6
39,0.4,2018年10月12日02时,210281,―,瓦房店市,瓦房店市,19,28,39,21,4
51,1.0,2018年10月12日02时,210300,PM10,鞍山市,鞍山市,29,27,52,23,14
63,0.8,2018年10月12日02时,210400,PM10,抚顺市,抚顺市,26,8,76,43,12
53,1.3,2018年10月12日02时,210500,PM10,本溪市,本溪市,29,6,55,32,9
42,1.1,2018年10月12日02时,210600,―,丹东市,丹东市,26,6,42,28,14
69,0.9,2018年10月12日02时,210700,PM10,锦州市,锦州市,39,4,88,39,14
54,0.7,2018年10月12日02时,210800,PM10,营口市,营口市,41,16,57,25,4
54,0.5,2018年10月12日02时,210900,PM10,阜新市,阜新市,32,11,57,27,11
55,0.7,2018年10月12日02时,211000,PM10,辽阳市,辽阳市,30,19,60,31,14
25,0.6,2018年10月12日02时,211100,―,盘锦市,盘锦市,39,26,25,10,11
61,0.8,2018年10月12日02时,211200,PM10,铁岭市,铁岭市,37,6,71,42,10
62,0.9,2018年10月12日02时,211300,PM10,朝阳市,朝阳市,38,7,73,37,16
62,0.7,2018年10月12日02时,211400,PM10,葫芦岛市,葫芦岛市,44,7,73,30,10
59,0.9,2018年10月12日02时,220100,PM10,长春市,长春市,39,7,68,33,6
28,0.6,2018年10月12日02时,220200,―,吉林市,吉林市,23,12,28,16,8
51,0.4,2018年10月12日02时,220300,PM10,四平市,四平市,44,8,52,29,8
50,0.8,2018年10月12日02时,220400,―,辽源市,辽源市,29,14,50,30,4
23,0.6,2018年10月12日02时,220500,―,通化市,通化市,14,2,23,10,6
26,0.6,2018年10月12日02时,220600,―,白山市,白山市,14,5,26,15,6
40,0.4,2018年10月12日02时,220700,―,松原市,松原市,22,13,40,12,2
26,0.3,2018年10月12日02时,220800,―,白城市,白城市,18,34,26,12,8
16,0.3,2018年10月12日02时,222400,―,延边州,延边州,12,26,16,10,4
41,0.5,2018年10月12日02时,230100,―,哈尔滨市,哈尔滨市,39,16,41,19,8
38,0.6,2018年10月12日02时,230200,―,齐齐哈尔市,齐齐哈尔市,22,25,38,19,20
22,0.4,2018年10月12日02时,230300,―,鸡西市,鸡西市,16,17,22,15,4
65,0.5,2018年10月12日02时,230400,PM10,鹤岗市,鹤岗市,11,42,79,23,9
44,1.1,2018年10月12日02时,230500,―,双鸭山市,双鸭山市,23,22,44,17,4
31,0.5,2018年10月12日02时,230600,―,大庆市,大庆市,12,34,31,15,6
24,0.1,2018年10月12日02时,230700,―,伊春市,伊春市,16,12,24,8,2
60,0.4,2018年10月12日02时,230800,PM10,佳木斯市,佳木斯市,26,12,69,27,6
29,0.3,2018年10月12日02时,230900,―,七台河市,七台河市,22,20,29,18,6
26,0.2,2018年10月12日02时,231000,―,牡丹江市,牡丹江市,11,15,26,16,2
42,0.4,2018年10月12日02时,231100,―,黑河市,黑河市,19,13,42,17,10
57,0.4,2018年10月12日02时,231200,PM2.5,绥化市,绥化市,18,23,46,40,6
40,0.4,2018年10月12日02时,232700,―,大兴安岭地区,大兴安岭地区,13,18,40,18,8
34,0.4,2018年10月12日02时,310000,―,上海市,上海市,46,62,34,17,7
67,0.5,2018年10月12日02时,320100,PM10,南京市,南京市,61,39,84,36,8
52,0.7,2018年10月12日02时,320200,PM10,无锡市,无锡市,60,33,54,30,18
52,0.6,2018年10月12日02时,320281,"PM10,PM2.5",江阴市,江阴市,37,72,54,36,12
35,1.0,2018年10月12日02时,320282,―,宜兴市,宜兴市,26,56,32,24,16
86,1.0,2018年10月12日02时,320300,PM10,徐州市,徐州市,89,10,121,63,16
65,0.8,2018年10月12日02时,320400,PM2.5,常州市,常州市,66,37,74,47,17
57,0.8,2018年10月12日02时,320481,"PM10,PM2.5",溧阳市,溧阳市,89,10,64,40,6
