aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
61,0.5,2018年10月12日00时,110000,PM10,北京市,北京市,62,6,71,24,3
66,0.9,2018年10月12日00时,120000,PM10,天津市,天津市,76,2,82,33,8
94,1.1,2018年10月12日00时,130100,PM10,石家庄市,石家庄市,101,3,137,62,15
53,0.8,2018年10月12日00时,130200,PM10,唐山市,唐山市,65,9,55,29,22
64,1.3,2018年10月12日00时,130300,PM10,秦皇岛市,秦皇岛市,63,7,77,38,27
81,0.6,2018年10月12日00时,130400,PM10,邯郸市,邯郸市,62,27,112,55,26
106,0.7,2018年10月12日00时,130500,PM10,邢台市,邢台市,77,3,162,55,24
90,1.1,2018年10月12日00时,130600,PM10,保定市,保定市,67,4,130,45,17
53,0.8,2018年10月12日00时,130800,PM10,承德市,承德市,46,4,56,22,9
90,0.8,2018年10月12日00时,130900,PM2.5,沧州市,沧州市,96,5,112,67,21
55,0.5,2018年10月12日00时,131000,PM10,廊坊市,廊坊市,64,10,59,33,4
68,0.6,2018年10月12日00时,131100,PM2.5,衡水市,衡水市,59,33,76,49,5
31,0.4,2018年10月12日00时,131200,―,张家口市,张家口市,15,44,31,16,8
93,0.8,2018年10月12日00时,140100,PM10,太原市,太原市,79,5,136,51,19
81,2.5,2018年10月12日00时,140200,PM10,大同市,大同市,47,7,111,40,49
95,0.9,2018年10月12日00时,140300,PM10,阳泉市,阳泉市,67,16,140,60,20
87,0.8,2018年10月12日00时,140400,PM2.5,长治市,长治市,27,82,103,64,9
97,1.3,2018年10月12日00时,140500,PM10,晋城市,晋城市,97,15,144,61,19
107,0.9,2018年10月12日00时,140600,PM10,朔州市,朔州市,54,7,164,52,30
73,1.0,2018年10月12日00时,140700,PM2.5,晋中市,晋中市,67,34,91,53,17
71,0.7,2018年10月12日00时,140800,PM10,运城市,运城市,32,82,92,43,22
67,0.8,2018年10月12日00时,140900,PM10,忻州市,忻州市,69,5,84,33,34
89,1.2,2018年10月12日00时,141000,PM10,临汾市,临汾市,74,13,128,58,14
70,0.8,2018年10月12日00时,141100,PM10,吕梁市,吕梁市,57,6,89,30,20
96,1.3,2018年10月12日00时,150100,PM10,呼和浩特市,呼和浩特市,70,4,141,52,16
99,1.5,2018年10月12日00时,150200,PM2.5,包头市,包头市,77,4,144,74,20
75,1.3,2018年10月12日00时,150300,PM10,乌海市,乌海市,52,11,100,42,13
102,0.9,2018年10月12日00时,150400,PM10,赤峰市,赤峰市,49,2,153,50,43
86,1.1,2018年10月12日00时,150500,PM10,通辽市,通辽市,48,17,121,59,9
52,0.6,2018年10月12日00时,150600,PM10,鄂尔多斯市,鄂尔多斯市,47,30,54,15,9
20,0.2,2018年10月12日00时,150700,―,呼伦贝尔市,呼伦贝尔市,9,48,20,14,2
59,0.8,2018年10月12日00时,150800,PM10,巴彦淖尔市,巴彦淖尔市,28,57,68,40,18
48,0.8,2018年10月12日00时,150900,―,乌兰察布市,乌兰察布市,69,12,48,29,24
58,0.8,2018年10月12日00时,152200,PM2.5,兴安盟,兴安盟,31,8,62,41,5
26,0.3,2018年10月12日00时,152500,―,锡林郭勒盟,锡林郭勒盟,26,18,26,12,8
44,0.6,2018年10月12日00时,152900,―,阿拉善盟,阿拉善盟,11,107,44,23,12
94,1.0,2018年10月12日00时,210100,PM2.5,沈阳市,沈阳市,58,6,109,70,58
31,0.7,2018年10月12日00时,210200,―,大连市,大连市,34,36,31,11,6
58,0.7,2018年10月12日00时,210281,PM10,瓦房店市,瓦房店市,36,15,66,36,4
52,1.0,2018年10月12日00时,210300,PM10,鞍山市,鞍山市,35,21,54,23,8
72,0.9,2018年10月12日00时,210400,PM2.5,抚顺市,抚顺市,34,8,78,52,15
57,1.1,2018年10月12日00时,210500,PM10,本溪市,本溪市,34,6,63,31,11
38,1.0,2018年10月12日00时,210600,―,丹东市,丹东市,32,7,38,24,14
64,0.9,2018年10月12日00时,210700,PM10,锦州市,锦州市,52,4,77,34,14
58,0.6,2018年10月12日00时,210800,PM10,营口市,营口市,58,5,66,33,4
75,1.0,2018年10月12日00时,210900,PM10,阜新市,阜新市,37,11,100,43,12
64,0.7,2018年10月12日00时,211000,PM10,辽阳市,辽阳市,33,17,78,43,13
22,0.5,2018年10月12日00时,211100,―,盘锦市,盘锦市,29,36,22,8,11
66,0.9,2018年10月12日00时,211200,PM10,铁岭市,铁岭市,43,5,81,34,62
64,1.0,2018年10月12日00时,211300,PM10,朝阳市,朝阳市,43,6,77,37,12
66,0.8,2018年10月12日00时,211400,PM10,葫芦岛市,葫芦岛市,45,14,82,33,11
72,1.2,2018年10月12日00时,220100,PM10,长春市,长春市,43,8,94,47,8
24,0.5,2018年10月12日00时,220200,―,吉林市,吉林市,25,14,24,14,7
63,0.5,2018年10月12日00时,220300,PM10,四平市,四平市,38,6,76,42,5
59,1.1,2018年10月12日00时,220400,PM2.5,辽源市,辽源市,32,14,60,42,5
43,0.6,2018年10月12日00时,220500,―,通化市,通化市,18,4,43,20,6
42,0.8,2018年10月12日00时,220600,―,白山市,白山市,16,6,42,22,6
68,0.4,2018年10月12日00时,220700,PM2.5,松原市,松原市,24,14,72,49,2
44,0.4,2018年10月12日00时,220800,―,白城市,白城市,22,37,44,21,10
16,0.3,2018年10月12日00时,222400,―,延边州,延边州,11,28,12,11,4
51,0.5,2018年10月12日00时,230100,PM10,哈尔滨市,哈尔滨市,42,16,51,22,8
38,1.1,2018年10月12日00时,230200,―,齐齐哈尔市,齐齐哈尔市,22,31,38,15,13
25,0.4,2018年10月12日00时,230300,―,鸡西市,鸡西市,16,16,25,14,3
72,0.7,2018年10月12日00时,230400,PM10,鹤岗市,鹤岗市,15,38,94,24,11
57,4.1,2018年10月12日00时,230500,PM10,双鸭山市,双鸭山市,38,4,64,21,11
37,0.5,2018年10月12日00时,230600,―,大庆市,大庆市,15,33,37,16,6
38,0.1,2018年10月12日00时,230700,―,伊春市,伊春市,28,9,38,13,5
80,0.6,2018年10月12日00时,230800,PM10,佳木斯市,佳木斯市,34,3,109,48,7
44,0.4,2018年10月12日00时,230900,―,七台河市,七台河市,20,20,44,22,6
29,0.3,2018年10月12日00时,231000,―,牡丹江市,牡丹江市,18,13,29,19,2
51,0.4,2018年10月12日00时,231100,PM10,黑河市,黑河市,19,16,52,20,12
41,0.4,2018年10月12日00时,231200,―,绥化市,绥化市,23,20,41,15,2
36,0.4,2018年10月12日00时,232700,―,大兴安岭地区,大兴安岭地区,14,16,36,25,8
37,0.4,2018年10月12日00时,310000,―,上海市,上海市,41,71,37,18,7
71,0.5,2018年10月12日00时,320100,PM10,南京市,南京市,72,34,91,35,9
54,0.7,2018年10月12日00时,320200,PM10,无锡市,无锡市,51,45,57,29,13
54,0.6,2018年10月12日00时,320281,PM10,江阴市,江阴市,40,74,57,34,13
33,1.0,2018年10月12日00时,320282,―,宜兴市,宜兴市,21,79,33,22,18
90,0.8,2018年10月12日00时,320300,PM10,徐州市,徐州市,94,12,129,59,19
55,0.7,2018年10月12日00时,320400,PM10,常州市,常州市,60,48,60,38,19
62,1.0,2018年10月12日00时,320481,"PM10,PM2.5",溧阳市,溧阳市,47,49,74,44,7
59,0.8,2018年10月12日00时,320482,PM2.5,金坛市,金坛市,55,57,58,42,11
45,0.4,2018年10月12日00时,320500,―,苏州市,苏州市,57,45,45,22,6
46,0.7,2018年10月12日00时,320581,―,常熟市,常熟市,38,70,46,25,18
50,0.3,2018年10月12日00时,320582,―,张家港市,张家港市,56,67,50,21,6
33,0.6,2018年10月12日00时,320583,―,昆山市,昆山市,43,70,33,18,10
53,0.7,2018年10月12日00时,320584,PM10,吴江市,吴江市,66,40,56,32,8
40,0.4,2018年10月12日00时,320585,―,太仓市,太仓市,49,80,40,22,9
55,0.4,2018年10月12日00时,320600,PM2.5,南通市,南通市,58,38,55,39,16
40,0.6,2018年10月12日00时,320684,―,海门市,海门市,20,91,40,24,20
46,0.6,2018年10月12日00时,320700,―,连云港市,连云港市,47,43,42,32,15
62,0.5,2018年10月12日00时,320800,PM10,淮安市,淮安市,33,68,74,36,8
57,1.0,2018年10月12日00时,320900,PM10,盐城市,盐城市,66,30,64,32,11
77,0.8,2018年10月12日00时,321000,PM2.5,扬州市,扬州市,64,44,81,56,13
68,0.6,2018年10月12日00时,321100,PM2.5,镇江市,镇江市,47,52,61,49,8
73,0.6,2018年10月12日00时,321183,PM10,句容市,句容市,44,30,96,40,5
63,0.6,2018年10月12日00时,321200,PM2.5,泰州市,泰州市,33,62,68,45,8
87,1.0,2018年10月12日00时,321300,PM2.5,宿迁市,宿迁市,57,45,78,64,14
51,0.7,2018年10月12日00时,330100,PM10,杭州市,杭州市,48,42,52,26,9
61,0.7,2018年10月12日00时,330183,PM10,富阳市,富阳市,54,36,71,38,8
59,0.7,2018年10月12日00时,330185,PM10,临安市,临安市,32,38,68,31,5
27,0.5,2018年10月12日00时,330200,―,宁波市,宁波市,29,68,27,11,7
35,0.4,2018年10月12日00时,330300,―,温州市,温州市,40,49,35,14,8
40,0.6,2018年10月12日00时,330400,―,嘉兴市,嘉兴市,46,42,40,22,5
36,0.5,2018年10月12日00时,330500,―,湖州市,湖州市,30,69,36,19,12
36,1.2,2018年10月12日00时,330681,―,诸暨市,诸暨市,36,18,36,24,5
50,0.6,2018年10月12日00时,330700,―,金华市,金华市,57,28,50,18,16
40,0.7,2018年10月12日00时,330782,―,义乌市,义乌市,72,19,40,24,10
48,0.5,2018年10月12日00时,330800,―,衢州市,衢州市,35,55,48,20,13
25,0.5,2018年10月12日00时,330900,―,舟山市,舟山市,15,80,15,7,4
31,0.4,2018年10月12日00时,331000,―,台州市,台州市,27,57,31,10,6
31,0.5,2018年10月12日00时,331100,―,丽水市,丽水市,24,54,31,15,6
42,0.6,2018年10月12日00时,331300,―,绍兴市,绍兴市,21,66,42,20,9
75,0.6,2018年10月12日00时,340100,PM10,合肥市,合肥市,93,26,99,45,11
62,0.7,2018年10月12日00时,340200,PM10,芜湖市,芜湖市,46,71,73,43,16
61,0.4,2018年10月12日00时,340300,PM10,蚌埠市,蚌埠市,28,98,72,38,14
67,0.5,2018年10月12日00时,340400,PM10,淮南市,淮南市,24,78,83,36,24
62,0.6,2018年10月12日00时,340500,PM10,马鞍山市,马鞍山市,44,62,74,36,15
76,0.5,2018年10月12日00时,340600,PM10,淮北市,淮北市,53,59,101,49,13
60,0.5,2018年10月12日00时,340700,"PM10,PM2.5",铜陵市,铜陵市,34,78,70,43,11
79,0.6,2018年10月12日00时,340800,PM2.5,安庆市,安庆市,22,96,71,58,15
34,0.5,2018年10月12日00时,341000,―,黄山市,黄山市,14,39,34,17,9
67,0.6,2018年10月12日00时,341100,PM10,滁州市,滁州市,81,29,83,44,12
78,0.5,2018年10月12日00时,341200,PM10,阜阳市,阜阳市,37,72,105,52,14
93,0.5,2018年10月12日00时,341300,PM2.5,宿州市,宿州市,46,68,124,69,12
66,0.6,2018年10月12日00时,341500,PM10,六安市,六安市,36,62,81,38,8
93,0.7,2018年10月12日00时,341600,PM10,亳州市,亳州市,73,21,136,60,16
64,0.6,2018年10月12日00时,341700,PM10,池州市,池州市,19,86,78,43,12
57,0.6,2018年10月12日00时,341800,PM2.5,宣城市,宣城市,38,74,62,40,8
34,0.5,2018年10月12日00时,350100,―,福州市,福州市,32,51,34,12,7
25,0.5,2018年10月12日00时,350200,―,厦门市,厦门市,16,79,21,10,4
32,0.4,2018年10月12日00时,350300,―,莆田市,莆田市,12,101,27,10,6
22,0.6,2018年10月12日00时,350400,―,三明市,三明市,12,53,19,15,7
30,0.4,2018年10月12日00时,350500,―,泉州市,泉州市,17,93,29,10,6
26,0.6,2018年10月12日00时,350600,―,漳州市,漳州市,28,49,24,18,10
22,0.6,2018年10月12日00时,350700,―,南平市,南平市,18,27,21,15,11
15,0.7,2018年10月12日00时,350800,―,龙岩市,龙岩市,11,47,8,4,6
23,0.6,2018年10月12日00时,350900,―,宁德市,宁德市,14,50,13,16,6
63,0.6,2018年10月12日00时,360100,PM10,南昌市,南昌市,41,70,75,25,14
56,0.5,2018年10月12日00时,360200,PM10,景德镇市,景德镇市,30,38,62,29,14
59,1.5,2018年10月12日00时,360300,PM10,萍乡市,萍乡市,42,52,67,34,41
57,0.6,2018年10月12日00时,360400,PM10,九江市,九江市,29,81,63,25,15
49,0.7,2018年10月12日00时,360500,―,新余市,新余市,48,43,49,23,32
54,0.3,2018年10月12日00时,360600,PM10,鹰潭市,鹰潭市,38,72,58,22,42
52,0.9,2018年10月12日00时,360700,PM10,赣州市,赣州市,15,102,53,33,20
51,0.4,2018年10月12日00时,360800,PM10,吉安市,吉安市,28,71,52,26,32
53,0.6,2018年10月12日00时,360900,PM10,宜春市,宜春市,21,60,56,24,10
50,0.6,2018年10月12日00时,361000,―,抚州市,抚州市,17,79,50,28,16
57,0.8,2018年10月12日00时,361100,PM10,上饶市,上饶市,22,66,63,32,55
81,0.6,2018年10月12日00时,370100,PM10,济南市,济南市,82,7,111,38,8
58,0.5,2018年10月12日00时,370181,PM10,章丘市,章丘市,56,15,65,27,8
54,0.7,2018年10月12日00时,370200,PM10,青岛市,青岛市,46,29,58,20,7
76,0.6,2018年10月12日00时,370281,PM10,胶州市,胶州市,74,8,102,46,10
54,0.8,2018年10月12日00时,370282,PM10,即墨市,即墨市,48,32,58,28,10
54,0.9,2018年10月12日00时,370283,PM10,平度市,平度市,52,6,58,33,7
58,0.4,2018年10月12日00时,370284,PM10,胶南市,胶南市,57,35,65,29,10
42,0.8,2018年10月12日00时,370285,―,莱西市,莱西市,32,42,42,24,20
90,1.8,2018年10月12日00时,370300,PM10,淄博市,淄博市,68,5,129,56,51
94,0.5,2018年10月12日00时,370400,PM10,枣庄市,枣庄市,54,32,137,53,21
43,0.4,2018年10月12日00时,370500,―,东营市,东营市,58,16,43,18,6
52,0.5,2018年10月12日00时,370600,PM10,烟台市,烟台市,35,25,54,17,8
34,0.6,2018年10月12日00时,370683,―,莱州市,莱州市,53,7,34,18,9
42,0.8,2018年10月12日00时,370684,―,蓬莱市,蓬莱市,32,27,42,29,6
49,1.2,2018年10月12日00时,370685,―,招远市,招远市,40,8,48,34,9
61,0.6,2018年10月12日00时,370700,PM10,潍坊市,潍坊市,65,4,71,28,9
60,0.6,2018年10月12日00时,370783,PM10,寿光市,寿光市,66,2,69,27,13
76,0.8,2018年10月12日00时,370800,PM10,济宁市,济宁市,90,6,102,35,15
62,1.2,2018年10月12日00时,370900,PM10,泰安市,泰安市,33,46,74,30,17
25,0.3,2018年10月12日00时,371000,―,威海市,威海市,5,80,11,3,3
32,0.7,2018年10月12日00时,371081,―,文登市,文登市,30,38,32,14,5
34,0.6,2018年10月12日00时,371082,―,荣成市,荣成市,22,49,34,12,9
39,1.0,2018年10月12日00时,371083,―,乳山市,乳山市,35,36,39,22,8
68,0.7,2018年10月12日00时,371100,PM10,日照市,日照市,69,18,86,41,7
94,0.7,2018年10月12日00时,371200,PM10,莱芜市,莱芜市,68,7,138,63,8
