aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
18,0.3,2018年10月11日17时,110000,―,北京市,北京市,20,57,18,8,2
26,0.4,2018年10月11日17时,120000,―,天津市,天津市,20,64,26,12,4
68,0.7,2018年10月11日17时,130100,PM10,石家庄市,石家庄市,35,98,86,36,15
40,0.3,2018年10月11日17时,130200,―,唐山市,唐山市,23,60,40,20,11
23,0.3,2018年10月11日17时,130300,―,秦皇岛市,秦皇岛市,15,72,21,12,8
61,0.4,2018年10月11日17时,130400,PM10,邯郸市,邯郸市,22,98,72,22,12
61,0.5,2018年10月11日17时,130500,PM10,邢台市,邢台市,30,94,72,35,16
31,0.3,2018年10月11日17时,130600,―,保定市,保定市,23,73,31,15,7
22,0.6,2018年10月11日17时,130800,―,承德市,承德市,23,60,22,6,18
34,0.4,2018年10月11日17时,130900,―,沧州市,沧州市,20,108,33,20,14
23,0.3,2018年10月11日17时,131000,―,廊坊市,廊坊市,21,66,23,10,3
52,0.5,2018年10月11日17时,131100,PM10,衡水市,衡水市,13,112,54,26,5
26,0.4,2018年10月11日17时,131200,―,张家口市,张家口市,8,83,18,5,8
66,0.7,2018年10月11日17时,140100,PM10,太原市,太原市,34,88,81,38,16
23,0.9,2018年10月11日17时,140200,―,大同市,大同市,19,67,23,12,16
56,0.6,2018年10月11日17时,140300,PM10,阳泉市,阳泉市,33,84,61,32,13
53,0.8,2018年10月11日17时,140400,PM10,长治市,长治市,17,123,55,25,9
67,0.9,2018年10月11日17时,140500,PM10,晋城市,晋城市,27,138,84,34,16
30,0.5,2018年10月11日17时,140600,―,朔州市,朔州市,16,76,30,6,13
57,0.8,2018年10月11日17时,140700,PM10,晋中市,晋中市,32,102,64,34,14
53,0.5,2018年10月11日17时,140800,PM10,运城市,运城市,15,123,56,26,11
30,0.5,2018年10月11日17时,140900,―,忻州市,忻州市,22,81,30,10,11
64,1.3,2018年10月11日17时,141000,PM10,临汾市,临汾市,32,132,77,35,20
40,0.6,2018年10月11日17时,141100,―,吕梁市,吕梁市,28,76,40,13,18
37,0.6,2018年10月11日17时,150100,―,呼和浩特市,呼和浩特市,29,63,37,13,10
35,0.6,2018年10月11日17时,150200,―,包头市,包头市,27,75,35,20,32
57,1.2,2018年10月11日17时,150300,PM10,乌海市,乌海市,40,90,63,24,52
18,0.4,2018年10月11日17时,150400,―,赤峰市,赤峰市,20,47,18,6,8
26,0.3,2018年10月11日17时,150500,―,通辽市,通辽市,14,65,26,14,4
29,0.5,2018年10月11日17时,150600,―,鄂尔多斯市,鄂尔多斯市,17,90,29,11,9
20,0.3,2018年10月11日17时,150700,―,呼伦贝尔市,呼伦贝尔市,12,64,12,8,4
33,0.5,2018年10月11日17时,150800,―,巴彦淖尔市,巴彦淖尔市,8,105,32,14,6
23,0.3,2018年10月11日17时,150900,―,乌兰察布市,乌兰察布市,18,72,12,15,14
18,0.2,2018年10月11日17时,152200,―,兴安盟,兴安盟,17,57,17,8,9
20,0.2,2018年10月11日17时,152500,―,锡林郭勒盟,锡林郭勒盟,8,64,18,5,7
50,0.5,2018年10月11日17时,152900,―,阿拉善盟,阿拉善盟,10,136,50,24,12
25,0.5,2018年10月11日17时,210100,―,沈阳市,沈阳市,21,53,25,8,10
24,0.4,2018年10月11日17时,210200,―,大连市,大连市,12,75,16,6,5
19,0.2,2018年10月11日17时,210281,―,瓦房店市,瓦房店市,14,59,14,8,4
34,0.7,2018年10月11日17时,210300,―,鞍山市,鞍山市,17,62,34,12,7
18,0.4,2018年10月11日17时,210400,―,抚顺市,抚顺市,19,52,18,7,9
40,0.5,2018年10月11日17时,210500,―,本溪市,本溪市,34,31,40,13,10
24,0.6,2018年10月11日17时,210600,―,丹东市,丹东市,26,40,24,12,11
31,0.4,2018年10月11日17时,210700,―,锦州市,锦州市,14,67,31,6,8
25,0.2,2018年10月11日17时,210800,―,营口市,营口市,14,78,20,8,4
22,0.2,2018年10月11日17时,210900,―,阜新市,阜新市,13,68,16,5,7
18,0.3,2018年10月11日17时,211000,―,辽阳市,辽阳市,16,51,18,8,11
