aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
36,0.4,2018年10月11日09时,110000,―,北京市,北京市,34,24,36,9,4
35,0.6,2018年10月11日09时,120000,―,天津市,天津市,35,30,35,13,6
86,1.2,2018年10月11日09时,130100,PM10,石家庄市,石家庄市,58,14,121,40,18
52,0.7,2018年10月11日09时,130200,PM10,唐山市,唐山市,38,28,54,26,53
36,0.5,2018年10月11日09时,130300,―,秦皇岛市,秦皇岛市,40,26,36,12,14
89,1.9,2018年10月11日09时,130400,PM10,邯郸市,邯郸市,60,20,128,49,38
74,0.7,2018年10月11日09时,130500,PM10,邢台市,邢台市,44,27,97,30,22
62,0.5,2018年10月11日09时,130600,PM10,保定市,保定市,41,22,74,33,10
54,0.8,2018年10月11日09时,130800,PM10,承德市,承德市,38,16,58,15,22
30,0.3,2018年10月11日09时,130900,―,沧州市,沧州市,28,44,30,16,10
28,0.3,2018年10月11日09时,131000,―,廊坊市,廊坊市,35,25,28,12,4
64,0.8,2018年10月11日09时,131100,PM2.5,衡水市,衡水市,38,26,65,46,10
31,0.4,2018年10月11日09时,131200,―,张家口市,张家口市,15,38,31,11,9
68,0.9,2018年10月11日09时,140100,PM10,太原市,太原市,44,25,85,28,29
74,4.7,2018年10月11日09时,140200,PM10,大同市,大同市,32,19,98,25,70
83,1.1,2018年10月11日09时,140300,PM10,阳泉市,阳泉市,56,12,115,44,45
72,1.6,2018年10月11日09时,140400,PM10,长治市,长治市,35,23,93,41,18
96,2.7,2018年10月11日09时,140500,PM10,晋城市,晋城市,65,21,142,62,31
100,1.0,2018年10月11日09时,140600,PM10,朔州市,朔州市,48,14,150,47,44
72,1.2,2018年10月11日09时,140700,PM10,晋中市,晋中市,52,15,94,36,19
72,1.6,2018年10月11日09时,140800,PM10,运城市,运城市,47,33,94,44,24
60,0.8,2018年10月11日09时,140900,PM10,忻州市,忻州市,45,16,70,26,35
82,1.3,2018年10月11日09时,141000,PM10,临汾市,临汾市,55,20,113,43,65
66,0.9,2018年10月11日09时,141100,PM10,吕梁市,吕梁市,35,18,82,22,18
53,1.0,2018年10月11日09时,150100,PM10,呼和浩特市,呼和浩特市,42,18,56,20,11
72,1.4,2018年10月11日09时,150200,PM10,包头市,包头市,49,13,94,43,29
71,1.4,2018年10月11日09时,150300,PM10,乌海市,乌海市,52,28,92,33,103
38,0.4,2018年10月11日09时,150400,―,赤峰市,赤峰市,17,34,38,10,6
47,0.5,2018年10月11日09时,150500,―,通辽市,通辽市,16,36,47,23,7
51,0.7,2018年10月11日09时,150600,PM10,鄂尔多斯市,鄂尔多斯市,37,31,51,17,12
20,0.5,2018年10月11日09时,150700,―,呼伦贝尔市,呼伦贝尔市,22,22,20,14,3
58,0.7,2018年10月11日09时,150800,PM10,巴彦淖尔市,巴彦淖尔市,24,38,66,28,12
31,0.8,2018年10月11日09时,150900,―,乌兰察布市,乌兰察布市,46,20,31,20,20
31,0.3,2018年10月11日09时,152200,―,兴安盟,兴安盟,18,37,31,15,4
32,0.2,2018年10月11日09时,152500,―,锡林郭勒盟,锡林郭勒盟,13,36,9,5,96
30,0.8,2018年10月11日09时,152900,―,阿拉善盟,阿拉善盟,28,82,30,20,10
55,0.8,2018年10月11日09时,210100,PM10,沈阳市,沈阳市,39,10,59,30,18
16,0.5,2018年10月11日09时,210200,―,大连市,大连市,18,47,16,7,6
53,0.8,2018年10月11日09时,210281,PM10,瓦房店市,瓦房店市,42,14,56,27,17
59,1.7,2018年10月11日09时,210300,PM10,鞍山市,鞍山市,36,21,68,33,22
77,1.2,2018年10月11日09时,210400,PM2.5,抚顺市,抚顺市,44,13,94,56,51
94,3.2,2018年10月11日09时,210500,PM2.5,本溪市,本溪市,33,9,106,70,26
