aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
47,0.4,2018年10月11日19时,110000,―,北京市,北京市,47,40,47,16,2
51,0.6,2018年10月11日19时,120000,PM10,天津市,天津市,61,18,52,12,5
78,0.8,2018年10月11日19时,130100,PM10,石家庄市,石家庄市,53,66,105,46,13
70,0.7,2018年10月11日19时,130200,PM10,唐山市,唐山市,69,12,90,27,12
47,0.9,2018年10月11日19时,130300,―,秦皇岛市,秦皇岛市,53,32,47,20,15
74,0.5,2018年10月11日19时,130400,PM10,邯郸市,邯郸市,56,54,98,36,13
82,0.6,2018年10月11日19时,130500,PM10,邢台市,邢台市,78,37,114,46,16
52,0.5,2018年10月11日19时,130600,PM10,保定市,保定市,49,45,54,28,7
67,1.2,2018年10月11日19时,130800,PM10,承德市,承德市,64,5,84,24,14
71,0.6,2018年10月11日19时,130900,PM10,沧州市,沧州市,54,66,91,49,13
40,0.4,2018年10月11日19时,131000,―,廊坊市,廊坊市,52,28,40,22,4
71,0.8,2018年10月11日19时,131100,PM10,衡水市,衡水市,50,66,92,44,5
55,0.6,2018年10月11日19时,131200,PM10,张家口市,张家口市,44,40,59,19,10
76,0.9,2018年10月11日19时,140100,PM10,太原市,太原市,84,27,101,45,14
38,1.1,2018年10月11日19时,140200,―,大同市,大同市,59,18,38,11,17
73,0.8,2018年10月11日19时,140300,PM10,阳泉市,阳泉市,47,67,95,46,17
58,0.8,2018年10月11日19时,140400,PM10,长治市,长治市,27,100,65,28,9
79,0.9,2018年10月11日19时,140500,PM10,晋城市,晋城市,43,112,107,44,16
43,0.7,2018年10月11日19时,140600,―,朔州市,朔州市,30,58,43,12,20
70,1.2,2018年10月11日19时,140700,PM10,晋中市,晋中市,82,38,90,35,17
60,0.6,2018年10月11日19时,140800,PM10,运城市,运城市,22,109,69,33,20
44,0.8,2018年10月11日19时,140900,―,忻州市,忻州市,67,30,44,22,11
84,1.7,2018年10月11日19时,141000,PM10,临汾市,临汾市,80,65,118,53,32
47,1.2,2018年10月11日19时,141100,―,吕梁市,吕梁市,72,26,47,19,21
50,0.8,2018年10月11日19时,150100,―,呼和浩特市,呼和浩特市,47,34,50,19,10
41,0.8,2018年10月11日19时,150200,―,包头市,包头市,77,19,41,24,19
53,0.7,2018年10月11日19时,150300,PM10,乌海市,乌海市,24,83,55,35,16
51,0.8,2018年10月11日19时,150400,PM10,赤峰市,赤峰市,64,10,51,21,32
125,1.0,2018年10月11日19时,150500,PM10,通辽市,通辽市,74,5,199,32,12
42,0.7,2018年10月11日19时,150600,―,鄂尔多斯市,鄂尔多斯市,51,48,42,15,12
18,0.4,2018年10月11日19时,150700,―,呼伦贝尔市,呼伦贝尔市,22,46,18,12,4
50,0.8,2018年10月11日19时,150800,―,巴彦淖尔市,巴彦淖尔市,46,56,50,22,10
35,0.5,2018年10月11日19时,150900,―,乌兰察布市,乌兰察布市,48,40,32,24,18
85,0.9,2018年10月11日19时,152200,PM10,兴安盟,兴安盟,61,6,119,29,7
26,0.4,2018年10月11日19时,152500,―,锡林郭勒盟,锡林郭勒盟,35,34,26,8,10
46,0.5,2018年10月11日19时,152900,―,阿拉善盟,阿拉善盟,13,122,46,30,14
40,0.7,2018年10月11日19时,210100,―,沈阳市,沈阳市,64,11,40,22,13
22,0.5,2018年10月11日19时,210200,―,大连市,大连市,34,48,22,9,6
