aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
53,0.5,2018年10月11日20时,110000,PM10,北京市,北京市,53,25,55,19,1
56,0.8,2018年10月11日20时,120000,PM10,天津市,天津市,75,6,62,18,8
83,0.8,2018年10月11日20时,130100,PM10,石家庄市,石家庄市,66,50,115,48,13
73,0.9,2018年10月11日20时,130200,PM10,唐山市,唐山市,76,8,95,34,14
52,1.2,2018年10月11日20时,130300,PM10,秦皇岛市,秦皇岛市,67,17,54,28,17
81,0.6,2018年10月11日20时,130400,PM10,邯郸市,邯郸市,70,34,111,38,24
91,0.6,2018年10月11日20时,130500,PM10,邢台市,邢台市,92,20,132,50,18
62,0.7,2018年10月11日20时,130600,PM10,保定市,保定市,66,16,73,33,6
69,1.0,2018年10月11日20时,130800,PM10,承德市,承德市,59,5,88,26,11
92,0.9,2018年10月11日20时,130900,PM2.5,沧州市,沧州市,82,26,118,68,14
47,0.4,2018年10月11日20时,131000,―,廊坊市,廊坊市,63,19,47,25,4
74,0.8,2018年10月11日20时,131100,PM10,衡水市,衡水市,66,41,97,50,5
59,0.8,2018年10月11日20时,131200,PM10,张家口市,张家口市,50,31,67,28,12
86,1.1,2018年10月11日20时,140100,PM10,太原市,太原市,94,12,121,52,15
59,1.3,2018年10月11日20时,140200,PM10,大同市,大同市,61,10,67,16,23
78,0.9,2018年10月11日20时,140300,PM10,阳泉市,阳泉市,54,52,105,56,21
61,0.8,2018年10月11日20时,140400,PM10,长治市,长治市,25,97,72,28,10
78,1.0,2018年10月11日20时,140500,PM10,晋城市,晋城市,56,89,105,48,16
59,0.8,2018年10月11日20时,140600,PM10,朔州市,朔州市,45,37,68,30,28
86,1.5,2018年10月11日20时,140700,PM10,晋中市,晋中市,99,8,122,44,18
66,0.7,2018年10月11日20时,140800,PM10,运城市,运城市,30,103,81,32,23
58,1.1,2018年10月11日20时,140900,PM10,忻州市,忻州市,83,6,65,33,18
107,2.0,2018年10月11日20时,141000,PM10,临汾市,临汾市,112,20,163,69,16
62,1.1,2018年10月11日20时,141100,PM10,吕梁市,吕梁市,65,20,74,24,24
63,1.0,2018年10月11日20时,150100,PM10,呼和浩特市,呼和浩特市,70,15,76,28,13
54,1.1,2018年10月11日20时,150200,PM10,包头市,包头市,90,9,58,37,22
