aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
59,0.5,2018年10月12日01时,110000,PM10,北京市,北京市,58,6,67,23,2
65,0.9,2018年10月12日01时,120000,PM10,天津市,天津市,76,2,80,35,9
100,1.1,2018年10月12日01时,130100,PM10,石家庄市,石家庄市,98,2,150,70,13
59,0.6,2018年10月12日01时,130200,PM10,唐山市,唐山市,54,17,67,28,18
62,1.3,2018年10月12日01时,130300,PM10,秦皇岛市,秦皇岛市,57,6,73,37,25
82,0.6,2018年10月12日01时,130400,PM10,邯郸市,邯郸市,66,21,114,55,25
103,0.8,2018年10月12日01时,130500,PM10,邢台市,邢台市,76,3,156,56,23
98,1.0,2018年10月12日01时,130600,PM10,保定市,保定市,61,4,146,53,14
48,0.7,2018年10月12日01时,130800,―,承德市,承德市,44,4,48,20,8
85,0.6,2018年10月12日01时,130900,PM2.5,沧州市,沧州市,80,7,85,63,18
55,0.6,2018年10月12日01时,131000,PM10,廊坊市,廊坊市,61,11,59,32,5
67,0.6,2018年10月12日01时,131100,PM10,衡水市,衡水市,62,27,84,47,5
30,0.4,2018年10月12日01时,131200,―,张家口市,张家口市,14,43,30,14,8
94,1.0,2018年10月12日01时,140100,PM10,太原市,太原市,78,7,137,51,21
76,1.8,2018年10月12日01时,140200,PM10,大同市,大同市,43,8,102,40,34
88,0.9,2018年10月12日01时,140300,PM10,阳泉市,阳泉市,67,15,125,59,20
72,0.8,2018年10月12日01时,140400,PM10,长治市,长治市,24,80,93,49,8
99,1.3,2018年10月12日01时,140500,PM10,晋城市,晋城市,95,8,148,62,18
116,0.8,2018年10月12日01时,140600,PM10,朔州市,朔州市,60,6,181,50,29
74,1.0,2018年10月12日01时,140700,PM10,晋中市,晋中市,68,25,98,50,17
73,0.7,2018年10月12日01时,140800,PM10,运城市,运城市,27,80,96,49,19
64,0.7,2018年10月12日01时,140900,PM10,忻州市,忻州市,63,3,78,34,33
86,1.1,2018年10月12日01时,141000,PM10,临汾市,临汾市,75,16,122,55,12
69,0.7,2018年10月12日01时,141100,PM10,吕梁市,吕梁市,54,6,88,32,19
94,1.2,2018年10月12日01时,150100,PM10,呼和浩特市,呼和浩特市,67,4,138,37,15
102,1.7,2018年10月12日01时,150200,PM2.5,包头市,包头市,73,3,141,76,22
71,1.1,2018年10月12日01时,150300,PM10,乌海市,乌海市,52,11,91,41,13
92,0.7,2018年10月12日01时,150400,PM10,赤峰市,赤峰市,40,3,134,48,35
63,0.7,2018年10月12日01时,150500,PM10,通辽市,通辽市,37,26,75,42,8
48,0.6,2018年10月12日01时,150600,―,鄂尔多斯市,鄂尔多斯市,43,32,48,13,9
19,0.2,2018年10月12日01时,150700,―,呼伦贝尔市,呼伦贝尔市,6,48,19,11,3
57,0.7,2018年10月12日01时,150800,"PM10,PM2.5",巴彦淖尔市,巴彦淖尔市,23,62,64,40,14
44,0.7,2018年10月12日01时,150900,―,乌兰察布市,乌兰察布市,52,20,44,23,18
55,0.7,2018年10月12日01时,152200,PM2.5,兴安盟,兴安盟,32,6,54,39,4
27,0.2,2018年10月12日01时,152500,―,锡林郭勒盟,锡林郭勒盟,20,26,27,8,8
44,0.6,2018年10月12日01时,152900,―,阿拉善盟,阿拉善盟,12,102,44,23,12
88,0.9,2018年10月12日01时,210100,PM2.5,沈阳市,沈阳市,55,5,102,65,52
29,0.6,2018年10月12日01时,210200,―,大连市,大连市,31,40,29,10,6
51,0.6,2018年10月12日01时,210281,PM10,瓦房店市,瓦房店市,29,18,52,28,4
53,1.0,2018年10月12日01时,210300,PM10,鞍山市,鞍山市,34,21,56,25,10
67,0.9,2018年10月12日01时,210400,"PM10,PM2.5",抚顺市,抚顺市,28,9,84,48,12
52,1.2,2018年10月12日01时,210500,PM10,本溪市,本溪市,32,6,54,30,10
37,1.3,2018年10月12日01时,210600,―,丹东市,丹东市,25,9,37,25,14
69,1.0,2018年10月12日01时,210700,PM10,锦州市,锦州市,44,3,88,45,13
61,0.7,2018年10月12日01时,210800,PM10,营口市,营口市,50,7,71,33,4
60,0.6,2018年10月12日01时,210900,PM10,阜新市,阜新市,35,10,70,32,12
58,0.6,2018年10月12日01时,211000,PM10,辽阳市,辽阳市,34,14,66,34,13
20,0.5,2018年10月12日01时,211100,―,盘锦市,盘锦市,27,41,20,8,11
62,0.9,2018年10月12日01时,211200,PM2.5,铁岭市,铁岭市,31,6,71,44,12
59,0.9,2018年10月12日01时,211300,PM10,朝阳市,朝阳市,42,6,67,37,12
64,0.7,2018年10月12日01时,211400,PM10,葫芦岛市,葫芦岛市,48,8,78,27,10
67,1.1,2018年10月12日01时,220100,PM10,长春市,长春市,40,8,84,41,7
27,0.6,2018年10月12日01时,220200,―,吉林市,吉林市,23,13,27,16,7
55,0.5,2018年10月12日01时,220300,PM10,四平市,四平市,44,5,59,33,5
53,1.0,2018年10月12日01时,220400,PM2.5,辽源市,辽源市,33,14,54,37,5
30,0.6,2018年10月12日01时,220500,―,通化市,通化市,16,4,30,14,6
30,0.7,2018年10月12日01时,220600,―,白山市,白山市,14,6,30,18,6
51,0.4,2018年10月12日01时,220700,PM10,松原市,松原市,18,18,52,26,2
36,0.3,2018年10月12日01时,220800,―,白城市,白城市,16,40,36,16,8
18,0.3,2018年10月12日01时,222400,―,延边州,延边州,11,27,14,12,4
45,0.5,2018年10月12日01时,230100,―,哈尔滨市,哈尔滨市,41,16,45,21,8
44,0.7,2018年10月12日01时,230200,―,齐齐哈尔市,齐齐哈尔市,22,26,44,17,9
24,0.4,2018年10月12日01时,230300,―,鸡西市,鸡西市,17,18,24,15,4
78,0.6,2018年10月12日01时,230400,PM10,鹤岗市,鹤岗市,13,38,106,24,10
51,2.4,2018年10月12日01时,230500,PM10,双鸭山市,双鸭山市,33,8,52,21,7
41,0.5,2018年10月12日01时,230600,―,大庆市,大庆市,14,34,41,14,7
31,0.2,2018年10月12日01时,230700,―,伊春市,伊春市,22,10,31,11,3
70,0.4,2018年10月12日01时,230800,PM10,佳木斯市,佳木斯市,30,9,90,37,6
34,0.4,2018年10月12日01时,230900,―,七台河市,七台河市,18,20,34,18,6
29,0.3,2018年10月12日01时,231000,―,牡丹江市,牡丹江市,13,17,29,18,2
47,0.4,2018年10月12日01时,231100,―,黑河市,黑河市,14,18,47,16,10
44,0.4,2018年10月12日01时,231200,―,绥化市,绥化市,19,24,44,28,3
30,0.4,2018年10月12日01时,232700,―,大兴安岭地区,大兴安岭地区,14,18,30,20,9
37,0.4,2018年10月12日01时,310000,―,上海市,上海市,49,61,37,18,7
69,0.5,2018年10月12日01时,320100,PM10,南京市,南京市,72,31,88,39,8
52,0.8,2018年10月12日01时,320200,PM10,无锡市,无锡市,54,40,53,29,14
52,0.7,2018年10月12日01时,320281,PM10,江阴市,江阴市,39,73,53,35,12
32,0.9,2018年10月12日01时,320282,―,宜兴市,宜兴市,22,68,30,22,16
86,0.8,2018年10月12日01时,320300,PM10,徐州市,徐州市,89,13,122,59,19
58,0.8,2018年10月12日01时,320400,PM2.5,常州市,常州市,66,40,64,41,20
59,0.8,2018年10月12日01时,320481,PM2.5,溧阳市,溧阳市,68,30,66,42,6
62,0.8,2018年10月12日01时,320482,PM2.5,金坛市,金坛市,58,50,56,44,10
39,0.4,2018年10月12日01时,320500,―,苏州市,苏州市,54,46,39,24,5
43,0.8,2018年10月12日01时,320581,―,常熟市,常熟市,44,70,43,24,17
54,0.3,2018年10月12日01时,320582,PM10,张家港市,张家港市,65,51,57,23,7
39,0.7,2018年10月12日01时,320583,―,昆山市,昆山市,44,75,39,20,10
52,0.6,2018年10月12日01时,320584,"PM10,PM2.5",吴江市,吴江市,79,30,54,36,8
33,0.5,2018年10月12日01时,320585,―,太仓市,太仓市,38,90,31,23,9
57,0.4,2018年10月12日01时,320600,PM2.5,南通市,南通市,60,35,61,40,14
44,0.6,2018年10月12日01时,320684,―,海门市,海门市,28,80,44,28,20
50,0.6,2018年10月12日01时,320700,―,连云港市,连云港市,45,48,50,33,13
57,0.5,2018年10月12日01时,320800,PM10,淮安市,淮安市,32,66,63,35,8
54,0.9,2018年10月12日01时,320900,PM10,盐城市,盐城市,74,18,58,32,12
79,0.7,2018年10月12日01时,321000,PM2.5,扬州市,扬州市,61,38,82,58,11
70,0.5,2018年10月12日01时,321100,PM2.5,镇江市,镇江市,44,49,69,51,14
79,0.6,2018年10月12日01时,321183,PM10,句容市,句容市,46,22,108,40,4
73,0.6,2018年10月12日01时,321200,PM2.5,泰州市,泰州市,32,60,72,53,10
85,1.0,2018年10月12日01时,321300,PM2.5,宿迁市,宿迁市,55,46,90,63,18
50,0.7,2018年10月12日01时,330100,―,杭州市,杭州市,43,46,50,26,10
60,0.7,2018年10月12日01时,330183,PM10,富阳市,富阳市,46,42,70,38,8
57,0.7,2018年10月12日01时,330185,PM10,临安市,临安市,28,40,64,28,4
36,0.5,2018年10月12日01时,330200,―,宁波市,宁波市,34,58,36,16,8
34,0.4,2018年10月12日01时,330300,―,温州市,温州市,38,50,34,14,7
38,0.6,2018年10月12日01时,330400,―,嘉兴市,嘉兴市,44,46,38,21,5
34,0.5,2018年10月12日01时,330500,―,湖州市,湖州市,34,60,34,18,11
38,1.2,2018年10月12日01时,330681,―,诸暨市,诸暨市,32,18,38,24,5
51,0.6,2018年10月12日01时,330700,PM10,金华市,金华市,54,25,52,22,18
44,0.7,2018年10月12日01时,330782,―,义乌市,义乌市,74,10,44,23,10
44,0.6,2018年10月12日01时,330800,―,衢州市,衢州市,37,51,44,22,14
25,0.6,2018年10月12日01时,330900,―,舟山市,舟山市,16,78,14,6,4
34,0.4,2018年10月12日01时,331000,―,台州市,台州市,30,49,34,12,6
31,0.5,2018年10月12日01时,331100,―,丽水市,丽水市,31,33,31,17,8
43,0.6,2018年10月12日01时,331300,―,绍兴市,绍兴市,22,60,43,20,10
70,0.6,2018年10月12日01时,340100,PM10,合肥市,合肥市,89,24,90,42,11
61,0.6,2018年10月12日01时,340200,PM10,芜湖市,芜湖市,44,68,71,42,16
58,0.4,2018年10月12日01时,340300,PM10,蚌埠市,蚌埠市,22,104,66,35,13
66,0.5,2018年10月12日01时,340400,PM10,淮南市,淮南市,27,80,82,36,27
60,0.6,2018年10月12日01时,340500,PM10,马鞍山市,马鞍山市,38,63,69,37,14
73,0.5,2018年10月12日01时,340600,PM10,淮北市,淮北市,45,68,96,43,15
59,0.6,2018年10月12日01时,340700,PM10,铜陵市,铜陵市,27,74,68,39,13
78,0.6,2018年10月12日01时,340800,PM2.5,安庆市,安庆市,20,96,78,57,13
33,0.5,2018年10月12日01时,341000,―,黄山市,黄山市,16,37,33,13,8
66,0.6,2018年10月12日01时,341100,PM10,滁州市,滁州市,69,27,81,44,13
72,0.5,2018年10月12日01时,341200,PM10,阜阳市,阜阳市,31,72,93,51,12
79,0.5,2018年10月12日01时,341300,PM10,宿州市,宿州市,41,70,107,53,13
65,0.6,2018年10月12日01时,341500,PM10,六安市,六安市,33,62,80,38,8
93,0.6,2018年10月12日01时,341600,PM10,亳州市,亳州市,69,17,135,58,18
63,0.5,2018年10月12日01时,341700,PM10,池州市,池州市,21,81,76,42,11
57,0.6,2018年10月12日01时,341800,PM10,宣城市,宣城市,47,61,63,39,8
37,0.5,2018年10月12日01时,350100,―,福州市,福州市,30,50,37,14,7
26,0.5,2018年10月12日01时,350200,―,厦门市,厦门市,12,83,24,11,3
32,0.4,2018年10月12日01时,350300,―,莆田市,莆田市,12,102,29,11,6
20,0.6,2018年10月12日01时,350400,―,三明市,三明市,13,53,20,14,8
30,0.4,2018年10月12日01时,350500,―,泉州市,泉州市,17,94,30,10,6
32,0.6,2018年10月12日01时,350600,―,漳州市,漳州市,30,43,28,22,10
23,0.6,2018年10月12日01时,350700,―,南平市,南平市,22,18,16,16,10
20,0.8,2018年10月12日01时,350800,―,龙岩市,龙岩市,12,41,20,5,6
26,0.5,2018年10月12日01时,350900,―,宁德市,宁德市,15,48,16,18,6
61,0.6,2018年10月12日01时,360100,PM10,南昌市,南昌市,38,71,71,27,15
53,0.4,2018年10月12日01时,360200,PM10,景德镇市,景德镇市,27,40,56,27,11
59,0.8,2018年10月12日01时,360300,PM10,萍乡市,萍乡市,31,53,68,34,25
57,0.7,2018年10月12日01时,360400,PM10,九江市,九江市,29,79,63,27,16
48,0.6,2018年10月12日01时,360500,―,新余市,新余市,40,57,48,24,39
57,0.4,2018年10月12日01时,360600,PM10,鹰潭市,鹰潭市,42,63,64,28,62
47,1.0,2018年10月12日01时,360700,―,赣州市,赣州市,13,100,47,27,24
53,0.4,2018年10月12日01时,360800,PM10,吉安市,吉安市,25,69,56,26,34
49,0.6,2018年10月12日01时,360900,―,宜春市,宜春市,23,50,49,21,10
50,0.5,2018年10月12日01时,361000,―,抚州市,抚州市,18,77,50,30,18
57,0.8,2018年10月12日01时,361100,PM10,上饶市,上饶市,23,60,64,29,40
