aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
46,0.5,2018年10月12日06时,110000,―,北京市,北京市,53,1,46,14,2
75,1.5,2018年10月12日06时,120000,PM2.5,天津市,天津市,77,2,77,55,13
89,1.2,2018年10月12日06时,130100,PM10,石家庄市,石家庄市,80,2,127,57,16
62,0.8,2018年10月12日06时,130200,PM2.5,唐山市,唐山市,59,6,71,44,42
63,1.3,2018年10月12日06时,130300,PM10,秦皇岛市,秦皇岛市,52,7,76,25,32
123,3.2,2018年10月12日06时,130400,PM10,邯郸市,邯郸市,80,6,195,86,31
104,0.9,2018年10月12日06时,130500,PM10,邢台市,邢台市,60,4,158,53,18
87,0.9,2018年10月12日06时,130600,PM10,保定市,保定市,61,4,123,58,14
55,0.7,2018年10月12日06时,130800,PM10,承德市,承德市,37,3,60,17,8
74,0.5,2018年10月12日06时,130900,PM2.5,沧州市,沧州市,75,8,83,54,37
67,0.8,2018年10月12日06时,131000,PM2.5,廊坊市,廊坊市,60,2,76,48,6
73,0.7,2018年10月12日06时,131100,PM2.5,衡水市,衡水市,69,11,85,53,8
24,0.3,2018年10月12日06时,131200,―,张家口市,张家口市,11,39,24,15,7
89,1.0,2018年10月12日06时,140100,PM10,太原市,太原市,66,8,127,54,25
76,3.9,2018年10月12日06时,140200,PM10,大同市,大同市,38,5,102,35,51
85,1.2,2018年10月12日06时,140300,PM10,阳泉市,阳泉市,58,10,120,58,19
80,2.2,2018年10月12日06时,140400,PM10,长治市,长治市,54,16,110,58,7
105,2.4,2018年10月12日06时,140500,PM10,晋城市,晋城市,79,6,159,71,20
113,1.0,2018年10月12日06时,140600,PM10,朔州市,朔州市,54,6,175,47,37
72,1.2,2018年10月12日06时,140700,PM10,晋中市,晋中市,65,12,93,44,15
69,0.7,2018年10月12日06时,140800,PM10,运城市,运城市,46,58,87,37,13
60,0.7,2018年10月12日06时,140900,PM10,忻州市,忻州市,49,3,70,34,48
78,1.3,2018年10月12日06时,141000,PM10,临汾市,临汾市,74,9,106,44,39
63,0.7,2018年10月12日06时,141100,PM10,吕梁市,吕梁市,51,6,75,28,21
74,1.0,2018年10月12日06时,150100,PM10,呼和浩特市,呼和浩特市,62,3,97,32,13
93,1.9,2018年10月12日06时,150200,PM2.5,包头市,包头市,63,2,128,69,26
55,0.7,2018年10月12日06时,150300,PM10,乌海市,乌海市,33,9,60,37,7
59,0.5,2018年10月12日06时,150400,PM10,赤峰市,赤峰市,34,6,68,27,18
45,0.4,2018年10月12日06时,150500,―,通辽市,通辽市,23,24,45,21,5
47,0.6,2018年10月12日06时,150600,―,鄂尔多斯市,鄂尔多斯市,45,24,47,12,15
25,0.1,2018年10月12日06时,150700,―,呼伦贝尔市,呼伦贝尔市,8,41,23,17,2
59,0.8,2018年10月12日06时,150800,PM2.5,巴彦淖尔市,巴彦淖尔市,22,44,58,42,12
35,1.0,2018年10月12日06时,150900,―,乌兰察布市,乌兰察布市,62,7,35,24,16
26,0.3,2018年10月12日06时,152200,―,兴安盟,兴安盟,20,13,26,17,3
13,0.2,2018年10月12日06时,152500,―,锡林郭勒盟,锡林郭勒盟,18,24,13,4,8
34,0.4,2018年10月12日06时,152900,―,阿拉善盟,阿拉善盟,6,108,32,19,8
67,2.1,2018年10月12日06时,210100,PM10,沈阳市,沈阳市,43,5,83,45,36
19,0.5,2018年10月12日06时,210200,―,大连市,大连市,26,43,19,9,5
34,0.3,2018年10月12日06时,210281,―,瓦房店市,瓦房店市,26,26,34,15,4
38,0.8,2018年10月12日06时,210300,―,鞍山市,鞍山市,25,36,38,16,10
46,1.0,2018年10月12日06时,210400,―,抚顺市,抚顺市,22,6,46,28,12
50,1.4,2018年10月12日06时,210500,―,本溪市,本溪市,26,6,50,33,9
42,1.0,2018年10月12日06时,210600,―,丹东市,丹东市,24,6,42,26,15
59,1.0,2018年10月12日06时,210700,PM10,锦州市,锦州市,34,3,68,40,20
61,0.7,2018年10月12日06时,210800,PM10,营口市,营口市,33,22,71,34,5
55,1.1,2018年10月12日06时,210900,PM10,阜新市,阜新市,28,9,60,26,14
36,0.6,2018年10月12日06时,211000,―,辽阳市,辽阳市,23,22,36,22,13
39,0.8,2018年10月12日06时,211100,―,盘锦市,盘锦市,36,17,39,16,11
55,1.0,2018年10月12日06时,211200,"PM10,PM2.5",铁岭市,铁岭市,29,8,60,39,10
66,0.9,2018年10月12日06时,211300,PM10,朝阳市,朝阳市,35,8,82,40,40
57,0.8,2018年10月12日06时,211400,PM10,葫芦岛市,葫芦岛市,43,5,64,31,13
44,0.8,2018年10月12日06时,220100,―,长春市,长春市,41,8,44,23,8
28,0.6,2018年10月12日06时,220200,―,吉林市,吉林市,26,7,28,15,10
45,0.5,2018年10月12日06时,220300,―,四平市,四平市,49,10,45,24,8
37,0.7,2018年10月12日06时,220400,―,辽源市,辽源市,32,14,37,20,6
28,0.8,2018年10月12日06时,220500,―,通化市,通化市,18,2,28,14,4
24,0.8,2018年10月12日06时,220600,―,白山市,白山市,18,6,24,16,10
24,0.3,2018年10月12日06时,220700,―,松原市,松原市,11,24,24,12,2
34,0.4,2018年10月12日06时,220800,―,白城市,白城市,25,14,34,20,9
18,0.3,2018年10月12日06时,222400,―,延边州,延边州,16,18,16,12,4
37,0.4,2018年10月12日06时,230100,―,哈尔滨市,哈尔滨市,37,19,37,19,9
32,0.5,2018年10月12日06时,230200,―,齐齐哈尔市,齐齐哈尔市,23,26,30,22,12
27,0.4,2018年10月12日06时,230300,―,鸡西市,鸡西市,19,14,27,16,2
