aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
62,0.6,2018年10月12日03时,110000,PM10,北京市,北京市,58,3,73,20,2
68,0.9,2018年10月12日03时,120000,PM10,天津市,天津市,76,1,86,48,12
107,0.9,2018年10月12日03时,130100,PM10,石家庄市,石家庄市,88,2,163,69,13
51,0.7,2018年10月12日03时,130200,PM10,唐山市,唐山市,58,8,51,30,24
64,1.2,2018年10月12日03时,130300,PM10,秦皇岛市,秦皇岛市,52,6,78,33,25
92,0.7,2018年10月12日03时,130400,PM2.5,邯郸市,邯郸市,78,8,128,68,33
103,0.8,2018年10月12日03时,130500,PM10,邢台市,邢台市,67,3,155,57,18
98,1.0,2018年10月12日03时,130600,PM10,保定市,保定市,64,4,145,58,17
45,0.6,2018年10月12日03时,130800,―,承德市,承德市,40,4,45,15,8
74,0.5,2018年10月12日03时,130900,PM2.5,沧州市,沧州市,74,10,87,54,28
60,0.7,2018年10月12日03时,131000,PM10,廊坊市,廊坊市,53,8,70,39,5
72,0.6,2018年10月12日03时,131100,PM2.5,衡水市,衡水市,61,24,69,52,6
31,0.3,2018年10月12日03时,131200,―,张家口市,张家口市,14,40,31,12,8
92,1.0,2018年10月12日03时,140100,PM10,太原市,太原市,72,6,134,56,22
67,3.1,2018年10月12日03时,140200,PM10,大同市,大同市,39,8,84,31,39
88,1.0,2018年10月12日03时,140300,PM10,阳泉市,阳泉市,61,13,126,55,20
64,1.6,2018年10月12日03时,140400,PM10,长治市,长治市,32,56,77,44,9
107,1.3,2018年10月12日03时,140500,PM10,晋城市,晋城市,90,7,163,64,23
114,0.9,2018年10月12日03时,140600,PM10,朔州市,朔州市,55,6,177,45,32
70,1.0,2018年10月12日03时,140700,PM10,晋中市,晋中市,66,22,89,47,18
68,0.6,2018年10月12日03时,140800,PM10,运城市,运城市,24,80,86,43,14
56,0.7,2018年10月12日03时,140900,PM10,忻州市,忻州市,54,2,62,30,43
76,0.9,2018年10月12日03时,141000,PM10,临汾市,临汾市,70,18,102,48,22
66,0.7,2018年10月12日03时,141100,PM10,吕梁市,吕梁市,49,6,82,31,23
77,0.9,2018年10月12日03时,150100,PM10,呼和浩特市,呼和浩特市,62,4,104,38,12
109,2.0,2018年10月12日03时,150200,PM2.5,包头市,包头市,68,3,144,82,21
71,0.9,2018年10月12日03时,150300,PM10,乌海市,乌海市,40,14,91,38,10
