aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
27,0.4,2018年10月11日10时,110000,―,北京市,北京市,24,38,27,7,3
23,0.4,2018年10月11日10时,120000,―,天津市,天津市,19,47,23,11,5
76,1.1,2018年10月11日10时,130100,PM10,石家庄市,石家庄市,47,31,102,36,17
50,0.7,2018年10月11日10时,130200,―,唐山市,唐山市,28,39,50,20,28
27,0.3,2018年10月11日10时,130300,―,秦皇岛市,秦皇岛市,18,49,27,11,11
129,1.1,2018年10月11日10时,130400,PM10,邯郸市,邯郸市,62,24,208,50,41
88,0.8,2018年10月11日10时,130500,PM10,邢台市,邢台市,51,35,125,41,32
41,0.4,2018年10月11日10时,130600,―,保定市,保定市,30,39,41,24,9
58,0.8,2018年10月11日10时,130800,PM10,承德市,承德市,28,37,66,14,23
21,0.2,2018年10月11日10时,130900,―,沧州市,沧州市,17,57,21,12,8
26,0.2,2018年10月11日10时,131000,―,廊坊市,廊坊市,28,37,26,13,4
46,0.6,2018年10月11日10时,131100,―,衡水市,衡水市,28,39,42,32,7
20,0.4,2018年10月11日10时,131200,―,张家口市,张家口市,11,50,20,10,9
63,0.7,2018年10月11日10时,140100,PM10,太原市,太原市,33,38,76,23,23
75,4.5,2018年10月11日10时,140200,PM10,大同市,大同市,21,34,99,26,52
84,1.0,2018年10月11日10时,140300,PM10,阳泉市,阳泉市,60,19,117,50,54
78,1.4,2018年10月11日10时,140400,PM10,长治市,长治市,35,36,106,42,17
83,2.6,2018年10月11日10时,140500,PM10,晋城市,晋城市,61,44,116,59,29
85,0.8,2018年10月11日10时,140600,PM10,朔州市,朔州市,34,36,119,41,34
79,1.0,2018年10月11日10时,140700,PM10,晋中市,晋中市,48,28,108,37,19
77,1.2,2018年10月11日10时,140800,PM10,运城市,运城市,35,59,104,42,18
61,0.6,2018年10月11日10时,140900,PM10,忻州市,忻州市,33,33,71,23,28
79,1.3,2018年10月11日10时,141000,PM10,临汾市,临汾市,56,30,108,38,63
61,0.8,2018年10月11日10时,141100,PM10,吕梁市,吕梁市,30,31,72,19,20
51,0.8,2018年10月11日10时,150100,PM10,呼和浩特市,呼和浩特市,29,37,52,18,10
69,1.2,2018年10月11日10时,150200,PM10,包头市,包头市,41,31,87,40,47
71,1.3,2018年10月11日10时,150300,PM10,乌海市,乌海市,48,35,92,35,93
34,0.3,2018年10月11日10时,150400,―,赤峰市,赤峰市,14,38,34,9,7
38,0.3,2018年10月11日10时,150500,―,通辽市,通辽市,10,47,38,17,7
41,0.7,2018年10月11日10时,150600,―,鄂尔多斯市,鄂尔多斯市,25,50,41,15,12
22,0.4,2018年10月11日10时,150700,―,呼伦贝尔市,呼伦贝尔市,15,28,22,10,4
44,0.6,2018年10月11日10时,150800,―,巴彦淖尔市,巴彦淖尔市,18,52,44,23,14
32,0.6,2018年10月11日10时,150900,―,乌兰察布市,乌兰察布市,34,38,30,22,22
