aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
60,0.4,2018年10月11日23时,110000,PM10,北京市,北京市,61,9,70,25,3
66,0.9,2018年10月11日23时,120000,PM10,天津市,天津市,76,2,81,30,7
89,1.0,2018年10月11日23时,130100,PM10,石家庄市,石家庄市,100,8,127,64,15
56,0.8,2018年10月11日23时,130200,PM10,唐山市,唐山市,70,7,62,32,17
67,1.3,2018年10月11日23时,130300,PM10,秦皇岛市,秦皇岛市,65,8,83,37,25
83,0.6,2018年10月11日23时,130400,PM10,邯郸市,邯郸市,64,29,116,51,20
109,0.7,2018年10月11日23时,130500,PM10,邢台市,邢台市,86,6,167,52,32
83,1.0,2018年10月11日23时,130600,PM10,保定市,保定市,71,4,115,43,26
57,0.8,2018年10月11日23时,130800,PM10,承德市,承德市,48,4,64,25,10
107,1.1,2018年10月11日23时,130900,PM2.5,沧州市,沧州市,99,5,150,80,18
54,0.4,2018年10月11日23时,131000,PM10,廊坊市,廊坊市,55,20,58,30,4
64,0.6,2018年10月11日23时,131100,PM10,衡水市,衡水市,62,55,78,44,5
34,0.4,2018年10月11日23时,131200,―,张家口市,张家口市,20,42,34,19,8
94,0.8,2018年10月11日23时,140100,PM10,太原市,太原市,83,5,137,52,21
84,3.7,2018年10月11日23时,140200,PM10,大同市,大同市,47,8,117,47,58
89,0.9,2018年10月11日23时,140300,PM10,阳泉市,阳泉市,64,21,127,57,21
93,1.5,2018年10月11日23时,140400,PM2.5,长治市,长治市,28,83,108,69,11
95,1.6,2018年10月11日23时,140500,PM10,晋城市,晋城市,99,14,139,63,21
112,0.9,2018年10月11日23时,140600,PM10,朔州市,朔州市,59,7,174,58,32
75,0.9,2018年10月11日23时,140700,PM10,晋中市,晋中市,67,32,100,51,17
69,0.6,2018年10月11日23时,140800,PM10,运城市,运城市,30,89,88,41,17
70,0.9,2018年10月11日23时,140900,PM10,忻州市,忻州市,70,4,90,38,43
97,1.4,2018年10月11日23时,141000,PM10,临汾市,临汾市,71,19,143,62,12
68,0.7,2018年10月11日23时,141100,PM10,吕梁市,吕梁市,63,6,86,32,22
99,1.4,2018年10月11日23时,150100,PM10,呼和浩特市,呼和浩特市,70,4,148,62,16
97,1.5,2018年10月11日23时,150200,PM2.5,包头市,包头市,84,3,131,72,24
83,1.2,2018年10月11日23时,150300,PM10,乌海市,乌海市,59,10,115,40,13
102,0.9,2018年10月11日23时,150400,PM10,赤峰市,赤峰市,54,2,153,50,19
96,2.0,2018年10月11日23时,150500,PM10,通辽市,通辽市,61,7,141,63,10
50,0.7,2018年10月11日23时,150600,―,鄂尔多斯市,鄂尔多斯市,55,23,50,17,11
25,0.2,2018年10月11日23时,150700,―,呼伦贝尔市,呼伦贝尔市,7,52,24,17,2
60,1.0,2018年10月11日23时,150800,PM10,巴彦淖尔市,巴彦淖尔市,36,49,69,37,17
